Index,馬名,生年月日,調教師,馬主,生産者,産地,セリ取引価格,父,母,母父,POG期間賞金_半期,POG期間賞金_通年
2012100024, □地ギンガムチェック 　,2012年6月9日,佐久間雅 (北海道),松永要一,浅川牧場,新冠町,,バランスオブゲーム,ビビットベイビー,クロフネ,5.00,9.90
2012100025, □地ラブロマンス 　,2012年4月29日,佐久間雅 (北海道),松永要一,浅川牧場,新冠町,,ソングオブウインド,マミークイーン,クリミナルタイプ,1.50,2.70
2012100026, □地アルファキンバレー 　,2012年5月9日,荒山義則 (兵庫),近藤悦子,アサヒ牧場,新冠町,,タニノギムレット,アルファグリン,エルコンドルパサー,0.00,0.00
2012100027, □地フェードロワ 　,2012年5月31日,加藤幸保 (笠松),山本幹雄,アサヒ牧場,新冠町,,ファスリエフ,オーゴンキップ,ネオユニヴァース,93.50,178.50
2012100028,タタラ 　,2012年4月22日,和田正一 (美浦),スピードファーム,アサヒ牧場,新冠町,,アドマイヤオーラ,クバター,De Ramiro,700.00,700.00
2012100029,ワイルドサルート 　,2012年3月6日,奥村武 (美浦),井山登,アサヒ牧場,新冠町,"2,160万円 (2014年 JRAブリーズアップセール)",ワイルドラッシュ,シルクサルート,フジキセキ,0.00,0.00
2012100030, □地エムザックサンダー 　,2012年4月16日,田中道夫 (兵庫),寺西正彰,アサヒ牧場,新冠,,メイショウボーラー,トップロンシャン,ワカオライデン,644.50,644.50
2012100031, □地マキノインプレス 　,2012年4月25日,工藤伸輔 (浦和),浜野牧男,アサヒ牧場,新冠町,,ゼンノロブロイ,マキノチーフ,チーフベアハート,83.80,115.20
2012100032,カネトシグランド 　,2012年3月16日,大根田裕 (栗東),兼松利男,アサヒ牧場,新冠町,,グラスワンダー,モエレメルシー,マジックマイルズ,0.00,0.00
2012100033,グリーディーの2012 　,2012年5月20日, ,,安達洋生,新冠町,,ソングオブウインド,グリーディー,シャンハイ,0,0
2012100034,グリーンフレイアの2012 　,2012年4月16日, ,,安達洋生,新冠町,,フサイチレオン,グリーンフレイア,サンデーサイレンス,0,0
2012100035,ディーエスクイーンの2012 　,2012年4月17日, ,,安達洋生,新冠町,,ブラックタキシード,ディーエスクイーン,アジュディケーティング,0,0
2012100036, □地ブルーマイスキー 　,2012年4月5日,武井和実 (地方),黛大介,安達洋生,新冠町,,フサイチコンコルド,パレスレディー,シャンハイ,1280.00,1280.00
2012100037,ファッションモデルの2012 　,2012年5月21日, ,,安達洋生,新冠町,,サムライハート,ファッションモデル,カコイーシーズ,0,0
2012100038, □地グジョウダーク 　,2012年5月5日,瀬戸幸一 (岩手),安達洋生,安達洋生,新冠町,,アルカセット,ブルートリポス,カコイーシーズ,60.00,99.20
2012100039, □地ブルーマルゼン 　,2012年4月24日,武井和実 (地方),黛大介,安達洋生,新冠町,,カネヒキリ,マルゼンミケーラ,マルゼンスキー,92.00,92.00
2012100040,ヤマイチリノの2012 　,2012年4月2日, ,,安達洋生,新冠町,,ハイアーゲーム,ヤマイチリノ,グランデラ,0,0
2012100041,イシス 　,2012年3月18日,牧浦充徳 (栗東),Ｍ・Ｋｅｎｉｃｈｉホールディング,アラキファーム,新冠町,,キングヘイロー,アラマサスナイパー,ステイゴールド,380.00,880.00
2012100042, □地アラホウジョウ 　,2012年3月20日,板垣吉則 (岩手),高橋一己,アラキファーム,新冠町,,マンハッタンカフェ,アラマサダンサー,ダンシングブレーヴ,0.00,0.00
2012100043,アラマサフェアリーの2012 　,2012年3月30日, ,,アラキファーム,新冠町,,カネヒキリ,アラマサフェアリー,オース,0,0
2012100044,ショウナンマール 　,2012年4月15日,古賀史生 (美浦),湘南,アラキファーム,新冠町,861万円 (2013年 北海道サマーセール),オペラハウス,イータカリーナ,Forestry,0.00,0.00
2012100045,アラマサファスリ 　,2012年4月4日,的場均 (美浦),アラキファーム,アラキファーム,新冠町,,ファスリエフ,ゴーンスペクター,Gone West,0.00,0.00
2012100046, □地アラマサメーカー 　,2012年3月31日,荒山義則 (兵庫),（有）オールウェイズ,アラキファーム,新冠町,,エンパイアメーカー,サイレンスマンボウ,サンデーサイレンス,0.00,0.00
2012100047, □地アラマサル 　,2012年4月20日,山田信大 (船橋),加藤尋康,アラキファーム,新冠町,,カンパニー,ターミナルフラワー,Salt Lake,240.00,365.00
2012100048, ○地アイライン 　,2012年5月9日,高橋裕 (美浦),アラキファーム,アラキファーム,新冠町,,ローレルゲレイロ,ローレルシャイン,コマンダーインチーフ,182.50,3007.40
2012100049, □地シャープオネスト 　,2012年5月25日,飯田弘道 (岩手),欠畑圭一,飯島功典,新冠町,,ローエングリン,エレガントゴールド,ステイゴールド,5.90,23.20
2012100050,マルシゲローエン 　,2012年3月18日,武田博 (栗東),坂東島繁藤,飯島功典,新冠町,,ローエングリン,キクカエンプレス,ミルフォード,2.90,2.90
2012100051, □地ハナビフォーレンス 　,2012年5月23日,栗本陽一 (笠松),冨田清誠,飯島功典,新冠町,,ジャイアントレッカー,グリープレジデント,サクラプレジデント,0.00,23.70
2012100052,タイホウアイの2012 　,2012年5月10日, ,,飯島功典,新冠町,,ハイアーゲーム,タイホウアイ,ジェイドロバリー,0,0
2012100053, □地ミエノコマンダー 　,2012年3月27日,工藤裕孝 (岩手),（有）メルシー,飯島功典,新冠町,,スウィフトカレント,ヒルノコマンダー,コマンダーインチーフ,10.50,14.40
2012100054, □地アルファマリニン 　,2012年4月14日,森沢友貴 (兵庫),久世俊勝,石郷岡雅樹,新冠町,,キングヘイロー,アルファローザンヌ,El Gran Senor,0.00,50.00
2012100055,ハッピームーン 　,2012年3月2日,相沢郁 (美浦),石瀬浩三,石郷岡雅樹,新冠町,,アドマイヤムーン,オンワードミシェル,アンバーシャダイ,0.00,375.00
2012100056,ブラックブリーズ 　,2012年2月24日,斎藤誠 (美浦),臼倉勲,石郷岡雅樹,新冠町,"1,566万円 (2014年 JRAブリーズアップセール)",カネヒキリ,ケイアイリード,フォーティナイナー,75.00,705.00
2012100057,コリーナデルナの2012 　,2012年4月9日, ,,石郷岡雅樹,新冠町,,ステイゴールド,コリーナデルナ,ホワイトマズル,0,0
2012100058,オヤマタイザン 　,2012年2月14日,松永幹夫 (栗東),加藤泰章,石郷岡雅樹,新冠町,,キングカメハメハ,トラストトゲピー,トニービン,0.00,0.00
2012100059, □地ビンテージヴォーグ 　,2012年2月3日,月岡健二 (大井),（有）エッジ,石郷岡雅樹,新冠町,"2,520万円 (2012年 セレクトセール)",マンハッタンカフェ,ホットマンボ,Kingmambo,275.00,312.50
2012100060,セイントハーモニー 　,2012年5月6日,勢司和浩 (美浦),内海正章,石郷岡雅樹,新冠町,473万円 (2013年 北海道サマーセール),ディープスカイ,マンガーノ,Quiet American,0,0
2012100061, □地アラーモード 　,2012年3月19日,菅原欣也 (栃木),（同）ＪＰＮ技研,石田牧場,新冠町,,カンパニー,イシノエストック,タバスコキャット,2.70,5.10
2012100062, □地セイントエンペラー 　,2012年2月29日,八木仁 (川崎),内海正章,石田牧場,新冠町,,ファスリエフ,イシノドリーム,ウォーニング,319.40,395.80
2012100063,キシャリの2012 　,2012年4月8日, ,,石田牧場,新冠町,,マヤノトップガン,キシャリ,Kris,0,0
2012100064, □地ギャラントレディ 　,2012年3月12日,菅原欣也 (栃木),（同）ＪＰＮ技研,石田牧場,新冠町,158万円 (2013年 北海道サマーセール),バトルプラン,シルクアピール,フォーティナイナー,0.00,6.20
2012100065,ワイドグローリー 　,2012年4月15日,池添兼雄 (栗東),幅田昌伸,石田牧場,新冠町,494万円 (2013年 北海道オータムセール),サムライハート,シルクアワード,スピニングワールド,0.00,350.00
2012100066, □地グランポルトス 　,2012年3月27日,山内和明 (愛知),杉浦和也,石田牧場,新冠町,,ファスリエフ,デサイデローザ,Mt. Livermore,0.00,0.00
2012100067, □地ソウルケンシ 　,2012年5月14日,佐藤裕太 (船橋),林田憲次,石田牧場,新冠町,,フォーティナイナーズサン,ピンキーブラック,ジェイドロバリー,107.10,357.10
2012100068, □地ツジスーパーハヤテ 　,2012年3月9日,竹下太 (愛知),太田全哉,石田牧場,新冠町,875万円 (2014年 北海道トレーニングセール),ワイルドラッシュ,フューチャローザ,サンデーサイレンス,0.00,0.00
2012100069, □地サッキーマンボ 　,2012年3月20日,立花貢 (大井),﨏文彦,石田牧場,新冠町,210万円 (2013年 北海道サマーセール),スズカマンボ,ベルファム,ブライアンズタイム,56.00,56.00
2012100070,プルミエプリ 　,2012年3月12日,松永康利 (美浦),石田牧場,石田牧場,新冠町,,アサクサデンエン,マサカーネ,トワイニング,0.00,150.00
2012100071, □地ハイアビリティー 　,2012年3月5日,佐々木功 (船橋),中島稔,石田牧場,新冠町,,キングヘイロー,ロッチダンス,ワッスルタッチ,60.00,64.80
2012100072, □地サラソウジュ 　,2012年3月29日,金田一昌 (金沢),村山忠弘,石田牧場,新冠町,,アドマイヤマックス,ローレルドリーム,ジェイドロバリー,63.90,126.70
2012100073,アルマエルモ 　,2012年3月11日,高橋文雅 (美浦),コウトミックレーシング,イワミ牧場,新冠町,,クロフネ,コスモハイクラス,ウォーニング,880.00,880.00
2012100074, □地ノースレインボー 　,2012年3月13日,斉藤敏 (船橋),田中貴雄,イワミ牧場,新冠町,,メイショウサムソン,サントドリーム,サッカーボーイ,16.80,16.80
2012100075, ○地ライトフェアリー 　,2012年4月9日,石毛善彦 (美浦),和田吉弘,イワミ牧場,新冠町,53万円 (2013年 北海道サマーセール),サムライハート,フラワーフェアリー,アルカセット,0.00,0.00
2012100076, □地ジェントルダンディ 　,2012年3月16日,平松徳彦 (兵庫),組）ジェントルマンホ,イワミ牧場,新冠町,,ロージズインメイ,マイネリーベ,コタシャーン,14.10,47.70
2012100077,トーセンクローチェ 　,2012年4月4日,小桧山悟 (美浦),島川隆哉,イワミ牧場,新冠町,525万円 (2013年 北海道オータムセール),ストーミングホーム,マイネレジーナ,サンデーサイレンス,110.00,110.00
2012100078, □地ミラクルツッキー 　,2012年3月26日, (地方),（株）皐月,岩見牧場,新冠町,648万円 (2014年 北海道トレーニングセール),クロフネ,オーサムチャーム,Awesome Again,0.00,110.00
2012100079,テイエムグンカン 　,2012年3月19日,木原一良 (栗東),竹園正繼,岩見牧場,新冠町,756万円 (2013年 北海道サマーセール),カネヒキリ,ケージービューティ,Private Account,110.00,1330.00
2012100080,ケージーカナリヤ 　,2012年3月27日,矢野英一 (美浦),川井五郎,岩見牧場,新冠町,,ファスリエフ,ケージーフジムスメ,キングカメハメハ,0.00,0.00
2012100081,ケージーレインボーの2012 　,2012年3月12日, ,,岩見牧場,新冠町,,カネヒキリ,ケージーレインボー,ダンスインザダーク,0,0
2012100082,ゴーゴーナイナーの2012 　,2012年4月30日, ,,岩見牧場,新冠町,,ファスリエフ,ゴーゴーナイナー,フォーティナイナー,0,0
2012100083,ケージーモンロー 　,2012年4月9日,水野貴広 (美浦),川井五郎,岩見牧場,新冠町,,キングヘイロー,ナポレオンオオミネ,ダンスインザダーク,0.00,0.00
2012100084,ファインドヌーヴ 　,2012年3月3日,矢野英一 (美浦),井山登,岩見牧場,新冠町,,チチカステナンゴ,ピサノドヌーヴ,アグネスタキオン,0.00,890.00
2012100085,ファインダッシュ 　,2012年5月15日,的場均 (美浦),井山登,岩見牧場,新冠町,,ファスリエフ,ファインレディー,マンハッタンカフェ,180.00,255.00
2012100086,ポルボローネ 　,2012年3月29日,作田誠二 (栗東),小林都美子,岩見牧場,新冠町,,フレンチデピュティ,ボーンザスカイ,タイキシャトル,885.00,1755.00
2012100087, □地ファインライナー 　,2012年4月29日,岡田一男 (浦和),糸井政三,岩見牧場,新冠町,,ジャングルポケット,メジロラルゴ,フジキセキ,780.00,780.00
2012100088, □地スコラバロック 　,2012年5月20日,真島元徳 (佐賀),加藤徹,大狩部牧場,新冠町,,デュランダル,イシノグレイス,ロイヤルアカデミーII,0.00,0.00
2012100089,パイロキシン 　,2012年5月22日,柴田政人 (美浦),加藤徹,大狩部牧場,新冠町,,パイロ,イシノスティール,ラムタラ,0.00,500.00
2012100090,ヒメフジサクラ 　,2012年5月29日,浅野洋一 (美浦),岡田勇,大狩部牧場,新冠町,,アドマイヤジャパン,イシノレインボー,ヘクタープロテクター,0.00,0.00
2012100091,シャインアロー 　,2012年4月4日,浅野洋一 (美浦),岡田勇,大狩部牧場,新冠町,,サムライハート,インフレッタ,エンドスウィープ,700.00,860.00
2012100092, □地プレシャスメガミ 　,2012年5月24日,武井和実 (地方),武井利夫,大狩部牧場,新冠町,,トーホウエンペラー,エスプリメガミ,アラジ,45.00,68.00
2012100093, □地ブラックシュガー 　,2012年5月29日,稲益貴弘 (船橋),田村純子,大狩部牧場,新冠町,,ブラックタイド,キシュウソウシュウ,Machiavellian,87.50,154.60
2012100094, □地ゼイロングトゥビー 　,2012年5月21日,真島元徳 (佐賀),加藤厚子,大狩部牧場,新冠町,,ハイアーゲーム,シナノザクラ,サクラバクシンオー,180.00,230.00
2012100095,スタイルオブメロンの2012 　,2012年5月11日, ,,大狩部牧場,新冠町,,ザール,スタイルオブメロン,メジロマックイーン,0,0
2012100096, ○地ヴァペンシエロ 　,2012年4月4日,成島英春 (美浦),加藤徹,大狩部牧場,新冠町,,ブライアンズタイム,テイクザスカイ,ゴールドアリュール,0.00,0.00
2012100097,テセラレフィナード 　,2012年5月3日,天間昭一 (美浦),木村直樹,大狩部牧場,新冠町,315万円 (2013年 北海道サマーセール),ファルブラヴ,ティファニージェム,マンハッタンカフェ,480.00,480.00
2012100098, □地ギオンゼウス 　,2012年5月6日,九日俊光 (佐賀),原田政幸,大狩部牧場,新冠町,263万円 (2013年 北海道オータムセール),ザール,プレシャスジェフォ,カリズマティック,0.00,60.00
2012100099, □地プラチナタンポポ 　,2012年5月25日,鈴木長次 (上山),（株）ファーストビジ,大狩部牧場,新冠町,,タニノギムレット,ロングフォーチュン,マキシムトライ,8.00,91.00
2012100100,アイファーサラオー 　,2012年3月17日,坪憲章 (栗東),中島稔,大林ファーム,新冠町,,タイムパラドックス,アイファーペガサス,デヒア,750.00,750.00
2012100101,コスモプリシオーソ 　,2012年6月7日,勢司和浩 (美浦),ビッグレッドファーム,大林ファーム,新冠町,116万円 (2013年 北海道サマーセール),アルカセット,ショウナンアクシア,ヘクタープロテクター,0.00,0.00
2012100102, □地ラブセレナード 　,2012年3月29日,錦見勇夫 (愛知),錦見日出雄,大林ファーム,新冠町,,ファルブラヴ,ヒロコファンタジー,ゼンノロブロイ,0.00,50.30
2012100103, □地ビナキャロル 　,2012年3月23日,飯田良弘 (兵庫),杉浦和也,大林ファーム,新冠町,,アサクサデンエン,プモ,アグネスデジタル,53.60,236.00
2012100104,アイチャンルックの2012 　,2012年4月9日, ,,岡牧場,新冠町,,ゴールドアリュール,アイチャンルック,ジェネラス,0,0
2012100105, □地ビシャモンテン 　,2012年5月15日,高橋俊之 (金沢),村瀬正,奥山博,新冠町,,アサクサデンエン,アデニウム,キャプテンスティーヴ,130.80,130.80
2012100106,ケイアイスパイダーの2012 　,2012年5月21日, ,,奥山博,新冠町,,アドマイヤコジーン,ケイアイスパイダー,サザンヘイロー,0,0
2012100107, □地ホーリーバード 　,2012年5月9日,碇清次郎 (兵庫),中村正子,折手牧場,新ひだか町,,エアジハード,ダイワフェニックス,エンドスウィープ,88.00,143.00
2012100108, ○地プレッツェル 　,2012年2月28日,松永康利 (美浦),手嶋康雄,奥山博,新冠町,,スニッツェル,トランスルーセント,アグネスタキオン,174.00,263.60
2012100109, □地ボールドハート 　,2012年3月30日,錦見勇夫 (愛知),山本忍,奥山博,新冠町,,エンパイアメーカー,ラブハート,マイネルラヴ,0.00,3.20
2012100110, □地ガルテリオ 　,2012年4月6日,岡林光浩 (船橋),中辻明,オリエント牧場,新冠町,432万円 (2014年 北海道トレーニングセール),サムライハート,ゴーバンズ,フレンチデピュティ,275.00,275.00
2012100111, □地アウトリーチ 　,2012年2月29日,藪口一麻 (浦和),草野光夫,オリエント牧場,新冠町,,メイショウボーラー,シルクアグライア,エルコンドルパサー,75.00,75.00
2012100112,マイネルシュプレム 　,2012年4月6日,黒岩陽一 (美浦),サラブレッドクラブ・ラフィアン,オリエント牧場,新冠町,,ケイムホーム,シルクファビュラス,Devil's Bag,0.00,55.50
2012100113, □地シャインスバル 　,2012年5月15日,久保與造 (大井),望月朋子,オリエント牧場,新冠町,"1,890万円 (2014年 北海道トレーニングセール)",キングヘイロー,ジョイオブフライト,Silver Hawk,37.50,208.00
2012100114,シグナルアロー 　,2012年3月9日,手塚貴久 (美浦),榊原源一郎,オリエント牧場,新冠町,,ハービンジャー,パパラチア,グラスワンダー,50.00,802.00
2012100115,グランソルティス 　,2012年3月23日,木原一良 (栗東),名古屋友豊,オリエント牧場,新冠町,,ゼンノロブロイ,ポポラス,フォーティナイナー,0.00,176.00
2012100116, ○地フジノサムライ 　,2012年3月24日,作田誠二 (栗東),栗本博晴,柏木一則,新冠町,,スクリーンヒーロー,カシノヴィガ,デヒア,512.50,1062.50
2012100117,クリノキララ 　,2012年4月27日,湯窪幸雄 (栗東),栗本守,柏木一則,新冠町,,カンパニー,クリノステップ,ダンスインザダーク,0,0
2012100118, □地クリノサン 　,2012年6月2日,菅原欣也 (栃木),（同）ＪＰＮ技研,柏木一則,新冠町,,トワイニング,クリノニケ,ネオユニヴァース,0.00,0.00
2012100119,カシノトラダマシイ 　,2012年4月30日,二本柳俊 (美浦),柏木務,柏木一則,新冠町,347万円 (2013年 北海道オータムセール),マイネルセレクト,コスモユウコリン,マイネルラヴ,0.00,572.00
2012100120,スマートハーレム 　,2012年2月20日,高野友和 (栗東),大川徹,柏木一則,新冠町,,エンパイアメーカー,スラムイン,Grand Slam,0.00,0.00
2012100121, □地マンダリンクイーン 　,2012年4月19日,細川忠義 (高知),山口春夫,柏木一則,新冠町,,タニノギムレット,ハツネラモーヌ,ダンスインザダーク,0.00,0.00
2012100122,カラマ 　,2012年4月11日,木村哲也 (美浦),吉田和美,柏木一則,新冠町,473万円 (2013年 北海道オータムセール),カネヒキリ,パシティア,シンボリクリスエス,0.00,650.00
2012100123,オリーブガールの2012 　,2012年4月13日, ,,片倉拓司,新冠町,,ファンタスティックライト,オリーブガール,アグネスタキオン,0,0
2012100124,ゲイリーブリリアンの2012 　,2012年5月2日, ,,片倉拓司,新冠町,,マヤノトップガン,ゲイリーブリリアン,ダンスインザダーク,0,0
2012100125,シルクハーベストの2012 　,2012年3月18日, ,,片倉拓司,新冠町,,キングヘイロー,シルクハーベスト,マンハッタンカフェ,0,0
2012100126, □地アフェクトダンサー 　,2012年4月27日,久保與造 (大井),村田裕子,片倉拓司,新冠町,410万円 (2014年 北海道トレーニングセール),ファルブラヴ,ヤマノビクトリア,クロフネ,0.00,75.00
2012100127, □地ミッドダンス 　,2012年5月28日,辻野豊 (大井),宮崎利男,カミイスタット,新冠町,756万円 (2014年 北海道トレーニングセール),ワイルドラッシュ,イヴニングミスト,Pulpit,250.00,250.00
2012100128, □地モズアドバンス 　,2012年1月26日,森沢友貴 (兵庫),須田靖之,カミイスタット,新冠町,"1,733万円 (2013年 北海道サマーセール)",スウェプトオーヴァーボード,スコルピオンキッス,フレンチデピュティ,0.00,0.00
2012100129, □地ジューンベル 　,2012年3月13日,工藤裕孝 (岩手),欠畑圭一,カミイスタット,新冠町,315万円 (2013年 北海道サマーセール),カンパニー,トロピカルフラワー,サクラバクシンオー,0.00,5.20
2012100130, □地ルナマジック 　,2012年4月6日,保利良平 (兵庫),谷謙介,カミイスタット,新冠町,,エンパイアメーカー,ヒカルアンクレット,アグネスタキオン,75.00,255.00
2012100131, ○地フライガイザー 　,2012年4月4日,本間忍 (美浦),簗詰貴彦,カミイスタット,新冠町,,パイロ,ヒシエリート,スペシャルウィーク,0.00,20.00
2012100132, □地フセノダイヤ 　,2012年4月28日,盛本信春 (地方),池田守,カミイスタット,新冠町,,ヴァーミリアン,ヒシシャトル,ボストンハーバー,585.00,585.00
2012100133,アヤミーチャン 　,2012年2月18日,武藤善則 (美浦),小林祥晃,カミイスタット,新冠町,,ルールオブロー,ヒシシンエイ,スペシャルウィーク,0.00,25.50
2012100134, □地サンアソシエ 　,2012年5月16日,地辺幸一 (愛知),谷謙介,カミイスタット,新冠町,105万円 (2013年 北海道サマーセール),カンパニー,ヒシレイホウ,Dayjur,0.00,0.00
2012100135,レイディルアレナ 　,2012年3月25日,高橋文雅 (美浦),佐藤牧場,カミイスタット,新冠町,,カネヒキリ,プラセンティア,トワイニング,0.00,90.00
2012100136,ヴーヴクリコの2012 　,2012年4月14日, ,,上井農場,新冠町,,サムライハート,ヴーヴクリコ,NOVERRE,0,0
2012100137, □地エイユーウォレット 　,2012年5月9日,飯田良弘 (兵庫),笹部和子,上井農場,新冠町,,アルカセット,トドロキエンジェル,ステイゴールド,0.00,0.00
2012100138, □地イマコソタチアガレ 　,2012年4月25日,佐々木洋 (大井),村上欽哉,上井農場,新冠町,210万円 (2013年 北海道サマーセール),ストラヴィンスキー,プレジャーホーク,Silver Hawk,37.50,92.50
2012100139,ロゼスピリッツ 　,2012年4月10日,高橋義博 (美浦),高橋信博,上井農場,新冠町,,マツリダゴッホ,ロゼッタ,メジロマックイーン,0.00,0.00
2012100140, □地スマイルギフト 　,2012年3月21日,的場直之 (大井),平本敏夫,川上悦夫,新冠町,,アドマイヤオーラ,エリモマーメイド,ウォーニング,57.00,383.00
2012100141,デルタタイム 　,2012年5月14日,蛯名利弘 (美浦),平本敏夫,川上悦夫,新冠町,,オリオンザサンクス,タイトルタイム,ブライアンズタイム,0.00,75.00
2012100142, □地ハクシンナデシコ 　,2012年3月7日,久保與造 (大井),榊原勝好,川上悦夫,新冠町,,エイシンデピュティ,ディーズプレスト,ブラックタイアフェアー,91.70,105.90
2012100143, □地コンドルダンス 　,2012年4月5日,斉藤敏 (船橋),市川智,川上悦夫,新冠町,,アドマイヤオーラ,ラードロチェキラ,キングヘイロー,1002.20,1732.20
2012100144, □地ポッドライジング 　,2012年5月13日,渋谷信博 (船橋),石井太郎,川上牧場,新冠町,,ヴァーミリアン,アーモンドグランス,ステイゴールド,417.00,417.00
2012100145, □地ドウシンカチドキ 　,2012年5月1日,住吉朝男 (兵庫),増本光夫,川上牧場,新冠町,,フォーティナイナーズサン,イエロージャスミン,マルゼンスキー,50.00,84.20
2012100146, □地ポッドシャイニー 　,2012年4月24日,八木正喜 (川崎),小川眞査雄,川上牧場,新冠町,,ゴールドアリュール,エリモシャイニー,ブライアンズタイム,45.00,95.00
2012100147, □地パッチワーク 　,2012年3月23日,寺田新太 (大井),（株）フロンティア・,川上牧場,新冠町,,フォーティナイナーズサン,オリエントサンデー,サンデーサイレンス,0.00,12.00
2012100148, □地オーダシティー 　,2012年4月16日,堀千亜樹 (大井),山下勇,川上牧場,新冠町,,エンパイアメーカー,クロチェーラ,Running Stag,0.00,57.80
2012100149, □地ブリティッシュ 　,2012年4月23日,久保與造 (大井),榊原勝好,川上牧場,新冠町,,サムライハート,サダムアカイカゼ,ブライアンズタイム,0.00,0.00
2012100150,アイアムジャンピン 　,2012年5月9日,高橋文雅 (美浦),西城公雄,川上牧場,新冠町,,フサイチコンコルド,スーパーファイン,ブライアンズタイム,0.00,0.00
2012100151, □地ポッドダニエル 　,2012年5月9日,大塚信次 (兵庫),小川眞査雄,川上牧場,新冠町,,カネヒキリ,ディーズビバーチェ,エルコンドルパサー,12.00,12.00
2012100152,キンシノホマレ 　,2012年4月7日,浅見秀一 (栗東),若草クラブ,川上牧場,新冠町,"1,134万円 (2014年 千葉サラブレッド・セール)",ケイムホーム,フローリスピース,コマンダーインチーフ,500.00,500.00
