Index,馬名,生年月日,調教師,馬主,生産者,産地,セリ取引価格,父,母,母父,POG期間賞金_半期,POG期間賞金_通年
2013100019,ランスタン 　,2013年4月24日,安達昭夫 (栗東),田所英子,天羽牧場,日高町,,ダイワメジャー,マシュール,Giant's Causeway,240.00,290.00
2013100020,マリンフェスタの2013 　,2013年5月8日, ,,天羽牧場,日高町,,ダイワメジャー,マリンフェスタ,サクラバクシンオー,0,0
2013100021,ローズボーの2013 　,2013年3月30日, ,,天羽牧場,日高町,,ディープインパクト,ローズボー,スピニングワールド,0,0
2013100022,アポロノホウリン 　,2013年4月18日,堀井雅広 (美浦),アポロサラブレッドクラブ,天羽禮治,日高町,,キンシャサノキセキ,アポロジャスミン,Saint Liam,160.00,310.00
2013100023,パラレルユニバース 　,2013年4月5日,斎藤誠 (美浦),小田吉男,天羽禮治,日高町,,ネオユニヴァース,エーソングフォー,More Than Ready,0.00,0.00
2013100024,バロス 　,2013年5月26日,田中章博 (栗東),杉澤光雄,天羽禮治,日高町,886万円 (2014年 北海道サマーセール),ゴールドアリュール,カリビアンペガサス,Fusaichi Pegasus,0,0
2013100025,スーリーズ 　,2013年3月15日,粕谷昌央 (美浦),岡田牧雄,天羽禮治,日高町,648万円 (2014年 セレクトセール),ネオユニヴァース,キルシュワッサー,サクラバクシンオー,0.00,0.00
2013100026, □地コーサー 　,2013年2月22日,川嶋弘吉 (高崎),藤田在子,天羽禮治,日高町,,バゴ,シベリアンクラシカ,Siphon,255.00,257.30
2013100027,アポロミステリー 　,2013年2月17日,堀井雅広 (美浦),アポロサラブレッドクラブ,天羽禮治,日高町,,ロッコウオロシ,チョウノヨウニマイ,Broad Brush,0,0
2013100028, □地アナトリア 　,2013年5月15日,川嶋弘吉 (高崎),藤田在子,天羽禮治,日高町,,ファルブラヴ,トップオブドーラ,Grand Slam,0.00,23.00
2013100029,マルターズフェスタ 　,2013年4月24日,堀井雅広 (美浦),藤田在子,天羽禮治,日高町,,ナカヤマフェスタ,パスザトーチ,ファンタスティックライト,0.00,75.00
2013100030, □地タンブリンマン 　,2013年4月5日,橋本忠明 (地方),松本俊広,天羽禮治,日高町,,キングヘイロー,ビエンナーレ,ステイゴールド,70.00,70.00
2013100031, □地アーシー 　,2013年4月23日,桜木英喜 (大井),（株）ＹＳＫ,天羽禮治,日高町,,ゴールドアリュール,ブラウブリッツ,シンボリクリスエス,99.00,240.40
2013100032,マルターズゲイル 　,2013年3月4日,松山将樹 (美浦),藤田在子,天羽禮治,日高町,,ゴスホークケン,マルターズクリス,シンボリクリスエス,485.00,1190.00
2013100033,リトルスマイル 　,2013年2月14日,水野貴広 (美浦),藤田在子,天羽禮治,日高町,,ゴスホークケン,リトルスポーツカー,Seeking the Gold,0.00,0.00
2013100034,ワンダフルボーラー 　,2013年5月6日,堀井雅広 (美浦),藤田在子,天羽禮治,日高町,,メイショウボーラー,ワンダフルドーラ,More Than Ready,280.00,280.00
2013100035,クーパーズヒル 　,2013年3月11日,木原一良 (栗東),加藤千豊,新井昭二,日高町,184万円 (2014年 北海道サマーセール),アサクサキングス,アオモミジ,ブライアンズタイム,0.00,98.00
2013100036, □地ヒシヘンリー 　,2013年4月6日,荒山義則 (兵庫),若林武雄,新井昭二,日高町,"1,512万円 (2015年 JRAブリーズアップセール)",アドマイヤムーン,キウィダンス,ティンバーカントリー,200.00,259.40
2013100037,ゴールドオーケー 　,2013年5月17日,小桧山悟 (美浦),江川伸夫,新井昭二,日高町,,タニノギムレット,ゴールドケー,ステイゴールド,0.00,0.00
2013100038,ノヴァステッラ 　,2013年3月24日,田中剛 (美浦),加藤誠,新井昭二,日高町,540万円 (2014年 北海道セレクションセール),ゴールドアリュール,シアトルブリッジ,スキャン,180.00,180.00
2013100039, □地セトノチェーサー 　,2013年4月9日,松木啓助 (高知),難波澄子,新井昭二,日高町,,キャプテントゥーレ,セトノレンブランサ,Encosta de Lago,0.00,11.50
2013100040,サンブレナード 　,2013年3月5日,清水英克 (美浦),加藤信之,新井昭二,日高町,140万円 (2014年 北海道オータムセール),アサクサキングス,ブリンダーレ,エルコンドルパサー,0.00,0.00
2013100041,マリエラ 　,2013年3月10日,鮫島一歩 (栗東),栗山良子,新井昭二,日高町,,キンシャサノキセキ,ホウショウルビー,デザートキング,0.00,815.00
2013100042,ホウショウワールドの2013 　,2013年4月24日, ,,新井昭二,日高町,,タニノギムレット,ホウショウワールド,Sky Classic,0,0
2013100043,マダムルコントの2013 　,2013年2月22日, ,,新井昭二,日高町,,マンハッタンカフェ,マダムルコント,メジロライアン,0,0
2013100044, □地デザートサンドラ 　,2013年3月16日,錦見勇夫 (愛知),錦見日出雄,新井昭二,日高町,270万円 (2014年 北海道サマーセール),ゴールドアリュール,レジュイール,トニービン,33.00,118.50
2013100045,ミスターギブソン 　,2013年4月27日,高橋義忠 (栗東),齋藤秀昭,新井昭二,日高町,864万円 (2014年 北海道サマーセール),ハーツクライ,ロイヤルライン,クロフネ,0.00,110.00
2013100046,マザックヤース 　,2013年5月3日,高柳瑞樹 (美浦),山崎泰博,新井弘幸,日高町,,キンシャサノキセキ,イーサンラヴ,マイネルラヴ,610.00,610.00
2013100047, □地ハピネスヒーロー 　,2013年4月2日,長谷川忍 (浦和),新井弘幸,新井弘幸,日高,,アサクサキングス,スズキャンドル,ジャングルポケット,190.00,294.40
2013100048,アイアムトゥルーの2013 　,2013年5月13日, ,,荒井ファーム,日高町,,キンシャサノキセキ,アイアムトゥルー,Yes It's True,0,0
2013100049,コスモハートの2013 　,2013年1月30日, ,,荒井ファーム,日高町,,ファスリエフ,コスモハート,マイネルラヴ,0,0
2013100050, □地イケノパシスタ 　,2013年5月28日,岡野尚光 (大井),池添安雄,池添安雄,日高町,,ブラックタイド,イケノナイン,ジェリ,292.50,332.50
2013100051, □地シャインスキー 　,2013年4月14日,国沢輝幸 (高知),横田良苗,石原牧場,日高町,119万円 (2014年 北海道オータムセール),アグネスデジタル,アイシャイン,マルゼンスキー,21.70,26.90
2013100052, □地パサー 　,2013年2月15日,金田一昌 (金沢),小山田兼敏,石原牧場,日高町,,ファルブラヴ,ファーマソフト,スニッツェル,9.00,9.00
2013100053, □地ナムラゴエモン 　,2013年4月1日,別府真司 (高知),吉橋英隆,いとう牧場,日高町,,ディープスカイ,クロスシーカー,Cape Cross,0.00,20.00
2013100054,スマートアリシア 　,2013年3月11日,鹿戸雄一 (美浦),大川徹,いとう牧場,日高町,,ファルブラヴ,スマートダイス,Point Given,700.00,700.00
2013100055,ソード 　,2013年3月12日,五十嵐忠 (栗東),深見富朗,いとう牧場,日高町,,キングカメハメハ,ダノニー,マンハッタンカフェ,0.00,0.00
2013100056,モリトオオトネ 　,2013年4月14日,堀井雅広 (美浦),石橋忠之,いとう牧場,日高町,,クロフネ,ナムラクニヒメ,キンググローリアス,0.00,0.00
2013100057,ナムラアラシ 　,2013年4月27日,目野哲也 (栗東),奈村信重,いとう牧場,日高町,,エンパイアメーカー,ナムラシゲコ,エンドスウィープ,700.00,1530.00
2013100058,ナムラバイオレット 　,2013年3月30日,岩戸孝樹 (美浦),奈村睦弘,いとう牧場,日高町,,チーフベアハート,ナムラテンニョ,キンググローリアス,405.00,1910.00
2013100059, □地ナムラエミリー 　,2013年4月14日,板垣吉則 (岩手),川村初美,いとう牧場,日高町,,ゼンノロブロイ,ナムラミーティア,サクラバクシンオー,0.00,9.20
2013100060,ティーパフォーマー 　,2013年4月25日,牧田和弥 (栗東),深見富朗,いとう牧場,日高町,356万円 (2014年 北海道サマーセール),スパイキュール,ナムラメロディー,ジェイドロバリー,0.00,375.00
2013100061,ナムラムサシ 　,2013年6月6日,目野哲也 (栗東),奈村信重,いとう牧場,日高町,,ディープインパクト,パンカティリオ,Kingmambo,260.00,335.00
2013100062,ココロノキャンバス 　,2013年3月18日,中舘英二 (美浦),田頭勇貴,いとう牧場,日高町,281万円 (2014年 北海道サマーセール),スクリーンヒーロー,マルフクブリジャン,アグネスタキオン,0.00,125.00
2013100063,ナムラエルサ 　,2013年5月21日,五十嵐忠 (栗東),奈村睦弘,いとう牧場,日高町,,マツリダゴッホ,レーヌヴェルト,フレンチデピュティ,0.00,48.00
2013100064,コーリンジャパン 　,2013年3月29日,柴田政人 (美浦),伊藤恵子,今井牧場,日高町,,アドマイヤジャパン,キャンティクラシコ,マルゼンスキー,0.00,0.00
2013100065, □地グランスーリール 　,2013年3月31日,金田一昌 (金沢),蜂須賀重夫,今井牧場,日高町,,ベーカバド,ホホエミ,バブルガムフェロー,399.00,466.80
2013100066,カスタラナの2013 　,2013年5月1日, ,,インターナショナル牧場,日高町,,ダンスインザダーク,カスタラナ,Key of Luck,0,0
2013100067,マイネルクリスピン 　,2013年5月9日,奥村豊 (栗東),サラブレッドクラブ・ラフィアン,浦新徳司,日高町,464万円 (2014年 北海道サマーセール),メイショウボーラー,グラニースミス,ディープインパクト,0.00,0.00
2013100068,エンパイアフリート 　,2013年3月3日,高木登 (美浦),山田弘,浦新徳司,日高町,"1,328万円 (2014年 北海道セレクションセール)",エンパイアメーカー,サルガソシー,Affirmed,0.00,0.00
2013100069,アルマラナキラ 　,2013年4月5日,高橋文雅 (美浦),コウトミックレーシング,浦新徳司,日高町,,スターリングローズ,ジョウノナンシー,フレンチデピュティ,280.00,450.00
2013100070,ビッキーの2013 　,2013年3月23日, ,,浦新徳司,日高町,,メイショウボーラー,ビッキー,タニノギムレット,0,0
2013100071,レーヴドラージュ 　,2013年6月12日,中村均 (栗東),前田晋二,浦新徳司,日高町,"1,210万円 (2014年 北海道サマーセール)",シンボリクリスエス,マリスカ,アグネスタキオン,0.00,0.00
2013100072,バルドスカイ 　,2013年3月2日,小笠倫弘 (美浦),島川隆哉,エスティファーム,日高町,,トーセンロッキー,アドマイヤバルド,ノーザンテースト,0.00,0.00
2013100073,カメリエーレ 　,2013年2月6日,古賀史生 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,アンジェロファニー,Honour and Glory,0.00,0.00
2013100074,ザスターイズミー 　,2013年4月9日,小桧山悟 (美浦),島川隆哉,エスティファーム,日高町,,トーセンモナーク,アードゥイン,Diesis,555.00,555.00
2013100075, ○地ブレイドフォース 　,2013年3月13日,成島英春 (美浦),島川隆哉,エスティファーム,日高町,,ヴィクトワールピサ,エスペラーダ,Fusaichi Pegasus,0.00,50.60
2013100076, □地フレアグラス 　,2013年5月14日,後藤正義 (笠松),島川隆哉,エスティファーム,日高町,,トーセンブライト,エターナルレイズ,シンボリクリスエス,13.70,41.30
2013100077,ヴィガーエッジ 　,2013年4月5日,池上昌和 (美浦),島川隆哉,エスティファーム,日高町,,キングカメハメハ,エラドゥーラ,Sultry Song,260.00,1050.00
2013100078,プラシデス 　,2013年4月14日,本間忍 (美浦),島川隆哉,エスティファーム,日高町,,ゼンノロブロイ,エリモファイナル,オペラハウス,0.00,0.00
2013100079,スプリングガール 　,2013年5月14日,小笠倫弘 (美浦),島川隆哉,エスティファーム,日高町,,トーセンブライト,ガールズトーク,ステイゴールド,610.00,1185.00
2013100080, □地デフィノワール 　,2013年4月22日,小久保智 (浦和),島川隆哉,エスティファーム,日高町,,トーセンブライト,シャトーノワール,アドマイヤベガ,630.00,914.00
2013100081,アデューシャーク 　,2013年5月23日,成島英春 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,スティールシャーク,シンボリクリスエス,75.00,75.00
2013100082,ワンパーセント 　,2013年5月9日,中川公成 (美浦),島川隆哉,エスティファーム,日高町,,トーセンブライト,スペシャライズ,スペシャルウィーク,650.00,1990.00
2013100083,セシルクラウン 　,2013年3月29日,木村哲也 (美浦),島川隆哉,エスティファーム,日高町,,シンボリクリスエス,セシルブルース,エルコンドルパサー,0.00,72.00
2013100084,ギミギミラック 　,2013年3月4日,小桧山悟 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,トーセンアマゾネス,ホワイトマズル,0.00,0.00
2013100085, □地ネクストヒロイン 　,2013年2月5日,橋本和馬 (大井),（有）エスティファー,エスティファーム,日高町,,トーセンファントム,トーセンアート,Woodman,240.00,240.00
2013100086, □地クラウンラーク 　,2013年3月30日,小久保智 (浦和),島川隆哉,エスティファーム,日高町,,トーセンファントム,トーセンウーノ,シンボリクリスエス,110.00,154.00
2013100087, □地レディブレーヴ 　,2013年5月15日,山中尊徳 (船橋),島川隆哉,エスティファーム,日高町,,トーセンファントム,トーセンエッセンス,マヤノトップガン,15.60,15.60
2013100088,エールクリーガー 　,2013年4月15日,小桧山悟 (美浦),島川隆哉,エスティファーム,日高町,,トーセンイマジゲン,トーセンエール,リアルシャダイ,0.00,0.00
2013100089,アサヒラスター 　,2013年3月28日, ,,エスティファーム,日高町,,アグネスデジタル,トーセンオマージュ,ダンスインザダーク,0,0
2013100090,ライクアファルコン 　,2013年5月24日,本間忍 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,トーセンカーニバル,コマンダーインチーフ,0.00,0.00
2013100091,スイートクールアイ 　,2013年4月5日,小笠倫弘 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,トーセンガラシャ,デュランダル,70.00,70.00
2013100092, □地ルキナ 　,2013年3月12日,小久保智 (浦和),島川隆哉,エスティファーム,日高町,,グラスワンダー,トーセンキャッスル,フレンチデピュティ,500.00,500.00
2013100093,スイートレッドアイ 　,2013年4月10日,本間忍 (美浦),島川隆哉,エスティファーム,日高町,,トーセンブライト,トーセンサファイア,サンデーサイレンス,0.00,0.00
2013100094,イエスアイゲット 　,2013年3月25日,成島英春 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,トーセンジョウオー,ティンバーカントリー,75.00,222.00
2013100095,アンダーザサン 　,2013年3月31日,成島英春 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,トーセンスクリュー,フレンチデピュティ,0.00,0.00
2013100096,ブレイブスマッシュ 　,2013年3月22日,小笠倫弘 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,トーセンスマッシュ,トウカイテイオー,4422.70,5941.90
2013100097, □地イナーセレニティ 　,2013年3月23日,後藤正義 (笠松),島川隆哉,エスティファーム,日高町,,トーセンブライト,トーセンセレニティ,サンデーサイレンス,44.40,79.00
2013100098,フィールアビート 　,2013年5月2日,中川公成 (美浦),島川隆哉,エスティファーム,日高町,,トーセンロッキー,トーセンデイジー,サンデーサイレンス,0,0
2013100099,ニケトップラン 　,2013年5月24日,池上昌和 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,トーセントップラン,ジャングルポケット,50.00,950.00
2013100100,トーセントリニティの2013 　,2013年3月30日, ,,エスティファーム,日高町,,トーセンファントム,トーセントリニティ,Desert Prince,0,0
2013100101,ラッキーゲッツ 　,2013年4月8日,中川公成 (美浦),島川隆哉,エスティファーム,日高町,,キングカメハメハ,トーセンハピネス,サンデーサイレンス,0.00,0.00
2013100102,マシェリガール 　,2013年4月8日,菅原泰夫 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,トーセンバスケット,ブライアンズタイム,2654.70,2654.70
2013100103, ○地ワンダフルブルー 　,2013年3月31日,成島英春 (美浦),島川隆哉,エスティファーム,日高町,,トーセンブライト,トーセンパピヨン,フジキセキ,0.00,50.60
2013100104,ホットアンドクール 　,2013年3月12日,木村哲也 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,トーセンピナクル,シンボリクリスエス,0.00,0.00
2013100105, □地ガンガンイコウゼ 　,2013年4月24日,山中尊徳 (船橋),島川隆哉,エスティファーム,日高町,,トーセンロッキー,トーセンフィーネ,サンデーサイレンス,43.40,67.40
2013100106,ピュアブリリアン 　,2013年2月7日,成島英春 (美浦),島川隆哉,エスティファーム,日高町,,ダイワメジャー,トーセンブリリアン,ホワイトマズル,815.00,815.00
2013100107,ブライトピスケス 　,2013年3月2日,菅原泰夫 (美浦),島川隆哉,エスティファーム,日高町,,トーセンブライト,トーセンプリンセス,フジキセキ,405.00,1380.00
2013100108,カリーナアスター 　,2013年4月6日,成島英春 (美浦),島川隆哉,エスティファーム,日高町,,トーセンイマジゲン,トーセンヘレネー,シンボリクリスエス,0.00,0.00
2013100109,トーセンマッハの2013 　,2013年3月13日, ,,エスティファーム,日高町,,トーセンファントム,トーセンマッハ,ブライアンズタイム,0,0
2013100110,ラキラキガール 　,2013年3月10日,成島英春 (美浦),島川隆哉,エスティファーム,日高町,,トーセンブライト,トーセンママレード,ネオユニヴァース,0.00,0.00
2013100111,ハレルヤボーイ 　,2013年2月4日,田村康仁 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,トーセンミネルバ,キングカメハメハ,1370.00,2090.00
2013100112,スペクトラブルー 　,2013年4月3日,小桧山悟 (美浦),島川隆哉,エスティファーム,日高町,,トーセンブライト,トーセンユーモア,グラスワンダー,0,0
2013100113,ドラコ 　,2013年1月27日, ,,エスティファーム,日高町,,トーセンブライト,トーセンラピュタ,フジキセキ,0,0
2013100114,リッジクルーズ 　,2013年5月13日,小桧山悟 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,トーセンリッジ,エルコンドルパサー,0.00,0.00
2013100115,スプリングラン 　,2013年4月15日,成島英春 (美浦),島川隆哉,エスティファーム,日高町,,トーセンブライト,トーセンレジェンド,エルコンドルパサー,0.00,0.00
2013100116,ゴシックロマン 　,2013年4月12日,小桧山悟 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,トーセンレベッカ,ゼンノロブロイ,0.00,0.00
2013100117,ブリングフォース 　,2013年5月5日,奥平雅士 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,ニシノニチリン,メジロマックイーン,0,0
2013100118,ニシノマリアの2013 　,2013年3月20日, ,,エスティファーム,日高町,,ディープインパクト,ニシノマリア,Take Me Out,0,0
2013100119,ヴァロンダンス 　,2013年5月9日,古賀史生 (美浦),島川隆哉,エスティファーム,日高町,,トーセンブライト,ハイランドダンス,ゼンノロブロイ,0.00,0.00
2013100120,コドウ 　,2013年3月27日,菅原泰夫 (美浦),島川隆哉,エスティファーム,日高町,,ジャングルポケット,バーガンディレッド,Star de Naskra,0.00,50.00
2013100121,ジュメイラ 　,2013年3月6日,古賀史生 (美浦),島川隆哉,エスティファーム,日高町,,トーセンブライト,パームアイランド,フジキセキ,0.00,190.00
2013100122,レディートゥーゴー 　,2013年4月10日,中川公成 (美浦),島川隆哉,エスティファーム,日高町,,フレンチデピュティ,ビーチフェスタ,フジキセキ,500.00,500.00
2013100123,ピンロックリーの2013 　,2013年3月26日, ,,エスティファーム,日高町,,トーセンファントム,ピンロックリー,A.P. Indy,0,0
2013100124,ファスタウィンク 　,2013年4月14日, ,,エスティファーム,日高町,,トーセンロッキー,ファスタ,Seattle Song,0,0
2013100125,インユアハンド 　,2013年2月4日,中川公成 (美浦),島川隆哉,エスティファーム,日高町,,トーセンブライト,ファストカラー,フジキセキ,0.00,0.00
2013100126,キックユアターフ 　,2013年3月4日,木村哲也 (美浦),エスティファーム,エスティファーム,日高町,,コンデュイット,ファモーザ,サンデーサイレンス,0.00,0.00
2013100127,セシルロック 　,2013年2月9日,成島英春 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,マッシュレイヤー,ジャングルポケット,0.00,0.00
2013100128,マーキュリーレヴ 　,2013年5月30日,本間忍 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,リエートフィーネ,ゼンノロブロイ,0.00,0.00
2013100129,エクラパール 　,2013年4月16日,本間忍 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,レアパール,ジェイドロバリー,275.00,275.00
2013100130,レッドフォーリアの2013 　,2013年5月5日, ,,エスティファーム,日高町,,トーセンブライト,レッドフォーリア,ダンスインザダーク,0,0
2013100131,グランリゲル 　,2013年4月3日,上原博之 (美浦),島川隆哉,エスティファーム,日高町,,トーセンファントム,レプラコンレーン,ファルブラヴ,185.00,685.00
2013100132,ノーブルワルツ 　,2013年3月3日,成島英春 (美浦),島川隆哉,エスティファーム,日高町,,ディープインパクト,ワルツオブキャット,Songandaprayer,70.00,275.00
2013100133, □地プレシャス 　,2013年4月20日,小西重征 (岩手),小林弘明,大江牧場,日高町,,ホワイトマズル,アドマイヤセレッソ,サクラローレル,0.00,4.00
2013100134,ガイセリック 　,2013年3月12日,矢野英一 (美浦),岡田牧雄,大江牧場,日高町,626万円 (2014年 北海道セレクションセール),ヴァーミリアン,ウエスタンバスター,ハウスバスター,0.00,0.00
2013100135, □地マイネルアクティヴ 　,2013年5月28日,田中敏和 (愛知),（株）ファーストビジ,大江牧場,日高町,,アグネスデジタル,カネスヴィバーチェ,ネオユニヴァース,0.00,195.00
2013100136,シャインメルシー 　,2013年3月20日,小野次郎 (美浦),皆川博文,大江牧場,日高町,,シンボリクリスエス,シャインエフォート,バブルガムフェロー,0.00,60.00
2013100137,シャインアムール 　,2013年3月5日, ,,大江牧場,日高町,,カジノドライヴ,シャインセレブ,クロフネ,0,0
2013100138, □地アスヘノトビラ 　,2013年4月14日, (地方),森本勝則,大沢育成牧場,日高町,,サムライハート,アスタルテ,スキャターザゴールド,0.00,0.00
2013100139,スペリオーレの2013 　,2013年5月1日, ,,大西ステイブル,日高町,,アッミラーレ,スペリオーレ,ロイヤルアカデミーII,0,0
2013100140, □地エメラルドアイ 　,2013年3月18日,松島寿 (佐賀),竹原孝昭,大西ステイブル,日高町,173万円 (2015年 九州トレーニングセール),ディープスカイ,ハイパーラッシュ,ワイルドラッシュ,56.70,70.80
2013100141, □地センペンバンカ 　,2013年3月30日,斉藤敏 (船橋),市川智,大西ステイブル,日高町,454万円 (2014年 北海道サマーセール),パイロ,ホワイトポイント,デザートキング,712.50,994.10
2013100142,キタノタイセツ 　,2013年5月10日,作田誠二 (栗東),福本次雄,大西ステイブル,日高町,,ヨハネスブルグ,ルクールドラメール,サンデーサイレンス,0.00,0.00
2013100143, □地ミライグリーン 　,2013年5月31日,栗田泰昌 (地方),大矢時夫,大矢牧場,日高町,,ローエングリン,ジョウネツノハナ,バンブーアトラス,250.00,314.00
2013100144, □地ルッテル 　,2013年3月28日,服部健一 (金沢),（有）ホースケア,大矢牧場,日高町,,ブラックタキシード,バルジ,アサティス,13.80,13.80
2013100145, □地エスケイアマゾン 　,2013年4月9日,山浦武 (船橋),伊藤輔則,沖田牧場,日高町,,ナカヤマフェスタ,アスカ,アフリート,34.00,34.00
2013100146, □地ウィンディスカイ 　,2013年3月30日,山口竜一 (地方),沖田方子,沖田牧場,日高町,,ディープスカイ,ウィンディガーデン,タニノギムレット,63.70,70.00
2013100147, □地ウォーターポピー 　,2013年3月13日,三小田幸 (佐賀),馬場三四郎,沖田牧場,日高町,,ファルブラヴ,エスケープリリー,ライブリーワン,20.00,76.30
2013100148, □地ジェットスタート 　,2013年4月7日,田辺陽一 (川崎),原大栄,沖田牧場,日高町,,ヴァーミリアン,オリガミ,シャンハイ,0.00,136.40
2013100149, □地キサナドゥー 　,2013年5月7日,坂本和也 (地方),加納大志,沖田牧場,日高町,162万円 (2014年 北海道オータムセール),アンライバルド,オースミサツキ,ブライアンズタイム,97.60,97.60
2013100150,ツースターク 　,2013年4月25日,浜田多実 (栗東),宮田直也,沖田牧場,日高町,248万円 (2014年 北海道サマーセール),キンシャサノキセキ,カザグルマ,ソウルオブザマター,50.00,300.00
2013100151, □地ヒコーキグモ 　,2013年4月10日,三坂盛雄 (大井),迎徹,沖田牧場,日高町,,ヴァーミリアン,カミヒコーキ,マイネルラヴ,481.50,672.50
2013100152,ゴールドハーツ 　,2013年3月2日,萱野浩二 (美浦),沖田正憲,沖田牧場,日高町,,ハーツクライ,ゴールドオアシス,アフリート,0.00,0.00
2013100153, □地スーパーハンド 　,2013年3月11日,宗綱泰彦 (金沢),（同）ＪＰＮ技研,沖田牧場,日高町,,サイレントディール,スーパーオアシス,アフリート,54.10,78.20
2013100154, □地カモンマッサン 　,2013年2月12日,角川秀樹 (北海道),沖田方子,沖田牧場,日高町,,シンボリクリスエス,ツクシヒメ,カコイーシーズ,63.50,77.00
