Index,馬名,生年月日,調教師,馬主,生産者,産地,セリ取引価格,父,母,母父,POG期間賞金_半期,POG期間賞金_通年
2010100043, □地ユウバエ 　,2010年4月15日,今井輝和 (川崎),高橋照比古,鹿戸辰幸,平取町,,スパイキュール,プルザトリガー,カコイーシーズ,0.00,100.80
2010100044, □地ベニノゴールド 　,2010年4月16日,井樋一也 (金沢),小柳猛,鹿戸辰幸,平取町,,サムライハート,ユニオンドーター,スキャン,16.00,149.80
2010100045,アロウィーバイオ 　,2010年5月19日,西浦勝一 (栗東),バイオ,清水牧場,平取町,,ネオユニヴァース,ケイパブルバイオ,ジェリ,0.00,940.00
2010100046,カラダエーピー 　,2010年2月24日,尾形和幸 (美浦),子安裕樹,清水牧場,平取町,,アフリート,ジャックヒマワリ,ヘネシー,680.00,680.00
2010100047,スズカダイヤ 　,2010年3月18日,藤沢則雄 (栗東),永井啓弍,清水牧場,平取町,,スズカフェニックス,スズカプラチナ,フレンチデピュティ,0.00,0.00
2010100048,ポンドゥレーヴ 　,2010年4月21日,野中賢二 (栗東),小河一隆,清水牧場,平取町,,スズカマンボ,ドリームブリッジ,スターオブコジーン,0.00,0.00
2010100049,エンペラーバイオ 　,2010年2月17日,坪憲章 (栗東),バイオ,清水牧場,平取町,,シルバーチャーム,ハイパーバイオ,ブライアンズタイム,0.00,0.00
2010100050, □地マルトクスパート 　,2010年4月19日,田中範雄 (兵庫),高浦正雄,清水牧場,平取町,,アルデバランＩＩ,マルトク,マーベラスサンデー,705.00,705.00
2010100051,ウルフキングボーイ 　,2010年3月31日,小笠倫弘 (美浦),廣崎利洋,清水牧場,平取町,,フサイチコンコルド,メロディペリオット,リアルシャダイ,0.00,0.00
2010100052, □地エメラルビューティ 　,2010年3月26日,佐々木清 (船橋),佐々木総雄,スガタ牧場,平取町,,アドマイヤメイン,サーティエイトゴーゴー,Thirty Eight Paces,50.70,50.70
2010100053,エメラルパワー 　,2010年1月29日,加藤敬二 (栗東),高橋勉,スガタ牧場,平取町,,フジキセキ,ドルスク,Danzig,0.00,0.00
2010100054,ハートフルソルティ 　,2010年2月3日, ,,スガタ牧場,平取町,326万円 (2011年 北海道サマーセール),オレハマッテルゼ,パシフィーク,ウォーエンブレム,0,0
2010100055, □地ウシュマル 　,2010年1月14日,高月賢一 (川崎),日下部勝徳,スガタ牧場,平取町,,スズカマンボ,フラワーパス,サクラバクシンオー,0.00,150.00
2010100056,フェイマスシーン 　,2010年1月21日,大久保洋 (美浦),笠原幸六,高橋啓,平取町,704万円 (2012年 JRAブリーズアップセール),アルカセット,インカルネ,フレンチデピュティ,275.00,275.00
2010100057,サフランティアラ 　,2010年4月2日,高橋義博 (美浦),海原聖一,高橋啓,平取町,,メイショウボーラー,サフランカーネギー,カーネギー,0.00,0.00
2010100058, □地サフランパートナー 　,2010年3月23日,平山真希 (地方),海原聖一,高橋啓,平取町,,アドマイヤボス,サフランキセキ,トウカイテイオー,0.00,120.00
2010100059, ○地イフウドウドウ 　,2010年1月31日,天間昭一 (美浦),西村新一郎,高橋啓,平取町,158万円 (2011年 北海道サマーセール),アドマイヤジュピタ,ナスノファイン,マンハッタンカフェ,120.00,325.00
2010100060,ノーブルライトの2010 　,2010年4月6日, ,,高橋啓,平取町,,ストーミングホーム,ノーブルライト,Giant's Causeway,0,0
2010100061,ノットアットオール 　,2010年4月9日,嶋田潤 (美浦),村田滋,高橋啓,平取町,,スウェプトオーヴァーボード,フレンチティー,フレンチデピュティ,0.00,0.00
2010100062,ハナイチモンメ 　,2010年1月29日,松山康久 (美浦),小菅定雄,高橋啓,平取町,,ファルブラヴ,ボウレジュ,ジャングルポケット,0.00,0.00
2010100063, □地サクラセント 　,2010年5月5日,阪本一栄 (大井),陣内豊,高橋幸男,平取町,,サクラバクシンオー,スマイリングカット,リアルシャダイ,37.50,37.50
2010100064, □地ウインドユナチャン 　,2010年2月1日,野田幸雄 (金沢),福原正博,高橋幸男,平取町,,ザッツザプレンティ,ダスティーミラー,エルコンドルパサー,0.00,0.00
2010100065,ホッカイカレンの2010 　,2010年2月19日, ,,高橋幸男,平取町,158万円 (2011年 北海道サマーセール),ニューイングランド,ホッカイカレン,サクラバクシンオー,0,0
2010100066, □地ラブミートゥナイト 　,2010年2月16日,川田孝好 (佐賀),小林祥晃,高橋幸男,平取町,305万円 (2011年 北海道オータムセール),サウスヴィグラス,ホッカイラヴ,アフリート,150.00,150.00
2010100067, □地テンザンホグアーツ 　,2010年4月1日,細川忠義 (高知),平宅正典,高橋幸男,平取町,,ファンタスティックライト,マリレット,Diesis,1.80,3.00
2010100068, ○地モルフェハッピー 　,2010年2月3日,大江原哲 (美浦),並河賢一郎,高橋幸男,平取町,,モルフェデスペクタ,モルフェダイス,バブルガムフェロー,150.00,150.00
2010100069, □地モルフェリット 　,2010年2月5日,山中輝久 (笠松),（同）ＪＰＮ技研,高橋幸男,平取町,,モルフェデスペクタ,モルフェワルツ,ニューイングランド,64.50,202.00
2010100070,ホワイトポピー 　,2010年3月28日,高橋裕 (美浦),楠本勝美,中川隆,平取町,105万円 (2011年 北海道サマーセール),スウェプトオーヴァーボード,ヴァージンスノー,スペシャルウィーク,500.00,1070.00
2010100071,ワッフル 　,2010年2月23日,鈴木伸尋 (美浦),石川達絵,中川隆,平取町,546万円 (2012年 JRAブリーズアップセール),ブラックタイド,ナイキトライアンフ,ボストンハーバー,50.00,50.00
2010100072,カドーディヴァン 　,2010年4月16日,粕谷昌央 (美浦),丸村村下ファーム,中川隆,平取町,231万円 (2011年 北海道オータムセール),アドマイヤコジーン,マヤノトリンケット,メジロマックイーン,0.00,0.00
2010100073, □地カイコマ 　,2010年4月30日,高橋清顕 (地方),駒井美智雄,中川隆,平取町,,ブラックホーク,ミユキグラマー,ハンセル,0.00,42.00
2010100074, □地スマートコーラス 　,2010年3月14日,川島正一 (船橋),大川徹,中川隆,平取町,158万円 (2011年 北海道サマーセール),アフリート,ユタカプリンセス,サクラユタカオー,49.00,49.00
2010100075, □地アヤ 　,2010年5月30日,笹野博司 (笠松),ホースケア,中田牧場,平取,,アドマイヤボス,イットーティアラ,リンドシェーバー,122.00,122.00
2010100076, □地キスミーソフトリー 　,2010年1月27日,山中尊徳 (船橋),中田和宏,中田牧場,平取町,,スウェプトオーヴァーボード,カモンマイハウス,キャロルハウス,0.00,90.00
2010100077, □地アドニスシーザー 　,2010年4月20日,藤原智行 (浦和),田中照美,中田牧場,平取町,,トワイニング,ゲイリーマドンナ,Smoke Glacken,0.00,90.00
2010100078,ケッキセヨ 　,2010年3月29日,岡田稲男 (栗東),一村哲也,中田牧場,平取町,210万円 (2011年 北海道オータムセール),アドマイヤコジーン,タニノバーバラ,フォーティナイナー,0.00,500.00
2010100079, □地サンモリッツ 　,2010年4月22日,鈴木義久 (地方),渡辺啓高,中田牧場,平取町,,ブラックホーク,パトリニア,ジェニュイン,0.00,17.40
2010100080, □地グランクック 　,2010年3月19日,竹口勝利 (愛知),（有）ホースケア,中田牧場,平取町,,ティンバーカントリー,ミキ,コマンダーインチーフ,35.70,49.10
2010100081, □地ラッパッパ 　,2010年3月15日,林正人 (船橋),西森三智代,二風谷ファーム,平取町,536万円 (2011年 北海道セレクションセール),アグネスデジタル,アイマイミー,Holy Bull,0.00,33.00
2010100082,コスモシルバード 　,2010年3月19日,高橋祥泰 (美浦),鈴木芳夫,二風谷ファーム,平取町,399万円 (2011年 北海道サマーセール),スウェプトオーヴァーボード,ダンスレッスン,ダンスインザダーク,2216.60,2216.60
2010100083,トウカイルーチェ 　,2010年4月18日,松元茂樹 (栗東),内村正則,二風谷ファーム,平取町,,ダンスインザダーク,トウカイポピー,スピニングワールド,185.00,380.00
2010100084,トウカイスタイル 　,2010年2月24日,成島英春 (美浦),内村正則,二風谷ファーム,平取町,,アフリート,トウカイユウユウ,トウカイテイオー,0.00,0.00
2010100085,トウカイアンコール 　,2010年2月25日,栗田徹 (美浦),内村正則,二風谷ファーム,平取町,,トウカイテイオー,トウカイルックス,サンデーサイレンス,0.00,0.00
2010100086, □地ノノサマ 　,2010年4月11日,渡辺和雄 (大井),（有）二風谷ファーム,二風谷ファーム,平取町,,ワイルドラッシュ,ハナマル,アフリート,79.50,79.50
2010100087, □地スズカブレーヴ 　,2010年3月24日,葛西勝幸 (岩手),大野春男,二風谷ファーム,平取町,,スズカマンボ,パーティミント,ノーザンテースト,17.30,18.70
2010100088,ヨイチピース 　,2010年5月4日,菅原泰夫 (美浦),加藤興一,二風谷ファーム,平取町,494万円 (2011年 北海道サマーセール),トワイニング,マチカネコチフカバ,サンデーサイレンス,225.00,255.00
2010100089, □地レアルタ 　,2010年5月27日,北川數男 (北海道),上野忠,原田新治,平取町,,アドマイヤドン,サンキョウナスカ,マルゼンスキー,36.00,136.80
2010100090,リアルフリー 　,2010年5月2日,大江原哲 (美浦),高橋仁,原田新治,平取町,,バブルガムフェロー,ゾフィー,スキャン,0.00,0.00
2010100091,イデアリスタ 　,2010年4月9日,菊川正達 (美浦),西森道男,原田新治,平取町,137万円 (2011年 北海道オータムセール),フサイチコンコルド,ナイキアムール,マヤノトップガン,0.00,0.00
2010100092,コスモオデッセイ 　,2010年3月28日,畠山重則 (美浦),ビッグレッドファーム,原田新治,平取町,210万円 (2011年 北海道サマーセール),フサイチコンコルド,メイシンフォニー,マークオブディスティンクション,4.20,50.70
2010100093, □地アクションバイオ 　,2010年4月18日,新井清重 (船橋),バイオ（株）,坂東牧場,平取町,,ケイムホーム,アトラクトバイオ,スペシャルウィーク,1083.70,1083.70
2010100094,アリマエンプレスの2010 　,2010年3月31日, ,,坂東牧場,平取町,,アドマイヤドン,アリマエンプレス,フジキセキ,0,0
2010100095,レッドサクセサー 　,2010年5月4日,角居勝彦 (栗東),東京ホースレーシング,坂東牧場,平取町,,シンボリクリスエス,オールザチャット,Westminster,0.00,1170.00
2010100096, □地ビービープライム 　,2010年5月24日,村上頼章 (大井),坂東牧場,坂東牧場,平取,,アルカセット,クリアカット,リアルシャダイ,114.00,234.00
2010100097,ケイアイチョウサン 　,2010年2月11日,和田雄二 (美浦),チョウサン,坂東牧場,平取町,,ステイゴールド,シャドウシルエット,シンボリクリスエス,760.00,6294.50
2010100098,ハナズルオーテ 　,2010年2月7日,牧田和弥 (栗東),Ｍ．タバート,坂東牧場,平取町,473万円 (2011年 北海道サマーセール),チチカステナンゴ,シャドウファイル,フジキセキ,0.00,89.90
2010100099, □地リアライズガンプ 　,2010年3月23日,小久保智 (浦和),飯田訓大,坂東牧場,平取町,210万円 (2011年 北海道サマーセール),ステイゴールド,シャナイア,コマンダーインチーフ,82.10,82.10
2010100100, □地カンタオーラ 　,2010年4月15日,高本友芳 (福山),三浦千恵子,坂東牧場,平取町,,Ballingarry,ジェイドアイランド,ジェイドハンター,38.40,43.00
2010100101,カズチョウサン 　,2010年5月5日,和田正道 (美浦),チョウサン,坂東牧場,平取町,,ダンスインザダーク,ステイヤング,サッカーボーイ,0.00,0.00
2010100102, □地ビービーエイジア 　,2010年3月8日,武井栄一 (川崎),武井利夫,坂東牧場,平取町,,フレンチデピュティ,タガタメ,ディアブロ,150.00,345.00
2010100103, □地ビービーカイザー 　,2010年2月19日,武井和実 (地方),（有）坂東牧場,坂東牧場,平取町,,マイネルセレクト,タップエース,ホワイトマズル,90.20,258.40
2010100104, □地ビービーパッピン 　,2010年3月27日,渡部則夫 (大井),（有）トニー企画,坂東牧場,平取町,,リンカーン,ビービープレジャー,アラジ,114.40,114.40
2010100105,ヘルシーバイオ 　,2010年3月27日,牧光二 (美浦),バイオ,坂東牧場,平取町,,マンハッタンカフェ,プロスパーバイオ,ノーザンテースト,0.00,0.00
2010100106,プリンシアルーナ 　,2010年5月9日,栗田徹 (美浦),芳川貴行,坂東牧場,平取町,,マイネルラヴ,ワタシノキモチ,タニノギムレット,75.00,335.00
2010100107, □地アクイラ 　,2010年4月2日, (地方),山本武司,びらとり牧場,平取町,,ティンバーカントリー,アプローズフラワー,ロイヤルスキー,157.90,203.00
2010100108, □地シューアラクレーム 　,2010年4月26日,松平幸秀 (地方),杉浦和也,びらとり牧場,平取町,,スズカマンボ,エアネレイド,フレンチデピュティ,57.60,92.80
2010100109,サンレイフローラ 　,2010年4月5日,西橋豊治 (栗東),永井宏明,びらとり牧場,平取町,,スズカマンボ,スズカフローラ,フレンチデピュティ,0.00,371.00
2010100110, □地トウカイサージュ 　,2010年3月1日,宗綱泰彦 (金沢),大黒富美子,びらとり牧場,平取町,,ファルブラヴ,トウカイウェーブ,トウカイテイオー,0.00,0.00
2010100111, □地トウカイルノン 　,2010年5月5日,大関吉明 (高知),浜田修一,びらとり牧場,平取町,,ジャングルポケット,トウカイパステル,サンデーサイレンス,0.00,0.00
2010100112, □地エノテカ 　,2010年4月7日,野口孝 (浦和),山本武司,びらとり牧場,平取町,,ゴールドアリュール,パラダイスフラワー,ティンバーカントリー,0.00,19.80
2010100113,ポートマイスター 　,2010年5月27日,安田隆行 (栗東),久保博文,びらとり牧場,平取町,,キングカメハメハ,ホーマンルージュ,デヒア,0.00,23.30
2010100114,ブラドック 　,2010年3月10日,田島良保 (栗東),松田整二,びらとり牧場,平取町,,ブラックタイド,マルカサファイヤ,エリシオ,50.00,50.00
2010100115,スリーデーモン 　,2010年5月13日,柄崎孝 (美浦),永井商事,びらとり牧場,平取町,641万円 (2010年 北海道セレクションセール),アサクサデンエン,レオコマチ,ダンスインザダーク,0.00,600.00
2010100116, □地サオリラビット 　,2010年2月19日,菅原右吉 (岩手),喜多村辰子,船越伸也,平取町,,タニノギムレット,アティーナラビット,フォーティナイナー,46.10,76.60
2010100117, □地エレノアラビット 　,2010年2月25日,菅原右吉 (岩手),森田徹,船越伸也,平取町,,タップダンスシチー,カガヤケラビット,デヒア,27.00,28.40
2010100118,ベテルギウス 　,2010年2月28日,菅原泰夫 (美浦),喜多村辰子,船越伸也,平取町,,タップダンスシチー,センエツルビー,スイフトスワロー,0,0
2010100119,パーティランドの2010 　,2010年5月2日, ,,船越伸也,平取町,,タップダンスシチー,パーティランド,ミルジョージ,0,0
2010100120,ダイゴハクリュウ 　,2010年5月20日,堀井雅広 (美浦),長谷川光司,船越伸也,平取町,252万円 (2011年 北海道オータムセール),スウェプトオーヴァーボード,ベイティドブレス,Bates Motel,0.00,0.00
2010100121,エアーウェーブ 　,2010年3月27日,松永康利 (美浦),小林竜太郎,船越伸也,平取町,525万円 (2011年 北海道セレクションセール),ホワイトマズル,ユーワゼフィルス,スペシャルウィーク,75.00,250.00
2010100122,ラヴラヴラビットの2010 　,2010年6月7日, ,,船越伸也,平取町,,グラスワンダー,ラヴラヴラビット,バブルガムフェロー,0,0
2010100123,マロンクリスティの2010 　,2010年3月14日, ,,松崎文彦,平取町,,タップダンスシチー,マロンクリスティ,ターゴワイス,0,0
2010100124,マロンダイヤの2010 　,2010年5月11日, ,,松崎文彦,平取町,,バブルガムフェロー,マロンダイヤ,エアジハード,0,0
2010100125,ミサトスパーロングの2010 　,2010年5月6日, ,,松崎文彦,平取町,,タイムパラドックス,ミサトスパーロング,ロングリート,0,0
2010100126,シャイニーリーヴァ 　,2010年5月7日,菊川正達 (美浦),小林昌志,雅牧場,平取町,,ダイタクリーヴァ,ストームサンデー,Storm Bird,200.00,1329.70
2010100127,ノードブライティア 　,2010年3月12日,橋口弘次 (栗東),小林昌志,雅牧場,平取町,,アグネスタキオン,スプリングネヴァー,サクラユタカオー,0.00,0.00
2010100128,シャイニーハーツ 　,2010年4月2日,佐々木晶 (栗東),小林昌志,雅牧場,平取町,,ハーツクライ,ダイタクアズミット,マヤノトップガン,160.00,860.00
2010100129, □地ワンダーギベオン 　,2010年5月31日,井樋明正 (佐賀),谷謙介,雅牧場,平取町,,グラスワンダー,ダイタクシードゥ,ティンバーカントリー,34.90,34.90
2010100130, □地ブライティアマンボ 　,2010年3月17日,晴山厚司 (岩手),只野啓喜,雅牧場,平取町,,アルカセット,ダイタクドクター,Saint Ballado,130.00,130.00
2010100131,コアレスドラゴン 　,2010年4月5日,羽月友彦 (栗東),小林昌志,雅牧場,平取町,,サクラバクシンオー,ダイタクドルチェ,スペシャルウィーク,355.00,930.00
2010100132,シャイニーデイズ 　,2010年5月23日,栗田博憲 (美浦),小林昌志,雅牧場,平取町,,ステイゴールド,ダイタクルアーズ,エリシオ,0.00,240.00
2010100133,サンライズヤマト 　,2010年2月11日,石坂正 (栗東),松岡隆雄,雅牧場,平取町,,タニノギムレット,ハローサンライズ,ダンスインザダーク,0.00,0.00
2010100134,パッシートジビッボ 　,2010年4月2日,木村哲也 (美浦),吉田和美,雅牧場,平取町,998万円 (2012年 北海道トレーニングセール),サクラバクシンオー,ブライティアナイル,アドマイヤベガ,75.00,205.00
2010100135, □地エンジェルブレイヴ 　,2010年5月6日,千葉幸喜 (地方),大久保和夫,雅牧場,平取町,,アドマイヤコジーン,ブライティアラック,タイキシャトル,176.40,207.60
2010100136, □地フレアリングメテオ 　,2010年5月18日, (地方),山口明彦,山口明彦,平取町,,タップダンスシチー,フレアリングアロー,リアルシャダイ,499.00,792.60
2010100137, □地フレアリングレーヌ 　,2010年3月25日,村上正和 (北海道),山口明彦,山口明彦,平取町,,アドマイヤマックス,フレアリングパサー,エルコンドルパサー,105.50,171.50
2010100138, □地ヤーマンミルフィー 　,2010年2月21日,川島洋人 (地方),山口明彦,山口明彦,平取町,,バブルガムフェロー,ヤマノパラダイス,パラダイスクリーク,82.10,139.90
2010100139,ウインエスペランサ 　,2010年5月25日,粕谷昌央 (美浦),ウイン,旭牧場,日高町,368万円 (2011年 北海道サマーセール),ルールオブロー,キャニオンステラ,ブラックタイアフェアー,0.00,50.00
2010100140,コスモソーク 　,2010年4月4日,畠山吉宏 (美浦),ビッグレッドファーム,旭牧場,日高町,105万円 (2011年 北海道サマーセール),ブラックホーク,コウシュンヒメ,モガンボ,310.00,360.00
2010100141, □地フェイスパレ 　,2010年4月25日,高月賢一 (川崎),（有）武田興業,旭牧場,日高町,,ヘクタープロテクター,トウザイブルース,Affirmed,13.00,13.00
2010100142, □地アベニンアカツキ 　,2010年4月21日,矢野久美 (佐賀),（同）ＪＰＮ技研,旭牧場,日高町,,パーソナルラッシュ,ビービーレイラ,ホワイトマズル,28.50,36.00
2010100143, □地ブラントンズコーク 　,2010年4月5日,堀江仁 (大井),長井純一,旭牧場,日高町,,マイネルセレクト,ローメリン,ウォーニング,160.00,351.20
2010100144,オーチャードグラスの2010 　,2010年3月17日, ,,厚賀古川牧場,日高町,,ロイヤルタッチ,オーチャードグラス,ブライアンズタイム,0,0
2010100145, □地ゴールドライセンス 　,2010年3月13日, (地方),吉山藤雄,厚賀古川牧場,日高町,158万円 (2012年 九州トレーニングセール),キングヘイロー,シービーフレイム,Fit to Fight,6.00,6.00
2010100146, □地ムラサキコマチ 　,2010年3月20日,土井道隆 (佐賀),吉武章,厚賀古川牧場,日高町,,スターリングローズ,ハイネスローラ,タイキシャトル,113.10,168.30
2010100147, □地タケカズオー 　,2010年4月22日,酒井一則 (高崎),小嶋安夫,厚賀古川牧場,日高町,,ヘクタープロテクター,ハッスルメール,ヴィクトリースピーチ,153.40,164.40
2010100148,バトルタイムの2010 　,2010年3月11日, ,,厚賀古川牧場,日高町,,アフリート,バトルタイム,アンシェントタイム,0,0
2010100149,コスモスマイル 　,2010年4月30日,奥平雅士 (美浦),ビッグレッドファーム,厚賀古川牧場,日高町,483万円 (2011年 北海道サマーセール),マヤノトップガン,ミッチースマイル,マルゼンスキー,0.00,89.00
2010100150, ○地プレイリースター 　,2010年3月22日,小笠倫弘 (美浦),田所英子,天羽牧場,日高町,,マヤノトップガン,カーロッサ,Caerleon,0.00,0.00
