Index,馬名,生年月日,調教師,馬主,生産者,産地,セリ取引価格,父,母,母父,POG期間賞金_半期,POG期間賞金_通年
2011100023, □地モーニングカフェ 　,2011年2月6日,金田一昌 (金沢),太田珠々子,天羽牧場,日高町,,マンハッタンカフェ,ローズボー,スピニングワールド,0.00,0.00
2011100024,スウィープアウェイ 　,2011年2月22日,矢野英一 (美浦),藤田在子,天羽禮治,日高町,,スウェプトオーヴァーボード,ウディバードソング,Woodman,500.00,500.00
2011100025, □地ヤマノハヤブサ 　,2011年4月22日,佐藤博紀 (川崎),（株）バスター,天羽禮治,日高町,,ハーツクライ,キルシュワッサー,サクラバクシンオー,480.00,1165.00
2011100026,コスモアメシスト 　,2011年3月12日,矢野英一 (美浦),ビッグレッドファーム,天羽禮治,日高町,420万円 (2012年 北海道サマーセール),ヨハネスブルグ,グランバザール,タマモクロス,75.00,75.00
2011100027,シベリアンドリームの2011 　,2011年5月31日, ,,天羽禮治,日高町,,シベリアンホーク,シベリアンドリーム,アグネスデジタル,0,0
2011100028,シベリアンブルーの2011 　,2011年3月13日, ,,天羽禮治,日高町,,スウェプトオーヴァーボード,シベリアンブルー,サザンヘイロー,0,0
2011100029,アポロレレ 　,2011年3月13日,堀井雅広 (美浦),アポロサラブレッドクラブ,天羽禮治,日高町,,ディープスカイ,チョウノヨウニマイ,Broad Brush,0,0
2011100030,マルターズオリゾン 　,2011年2月22日,手塚貴久 (美浦),藤田在子,天羽禮治,日高町,,ホワイトマズル,トップオブドーラ,Grand Slam,0.00,220.00
2011100031, □地デューイ 　,2011年4月28日,山本和之 (兵庫),須貝広次,天羽禮治,日高町,,ネオユニヴァース,ナミビア,Seeking the Gold,0.00,440.00
2011100032,ボーントゥラン 　,2011年4月14日,北出成人 (栗東),松本俊廣,天羽禮治,日高町,,タニノギムレット,ビエンナーレ,ステイゴールド,0.00,0.00
2011100033, ○地デモクラシー 　,2011年4月16日,松山将樹 (美浦),藤田在子,天羽禮治,日高町,,リンカーン,ブルースカイソング,Crafty Prospector,75.00,205.00
2011100034, □地カズノダイオー 　,2011年3月14日,赤嶺本浩 (大井),（有）トニー企画,天羽禮治,日高町,"1,050万円 (2012年 セレクトセール)",ゴールドアリュール,メルヴェイユーズ,エルコンドルパサー,81.00,138.20
2011100035,ピクシーハット 　,2011年6月1日,水野貴広 (美浦),藤田在子,天羽禮治,日高町,,ダンスインザダーク,リトルスポーツカー,Seeking the Gold,0.00,23.20
2011100036,ソアリングホーク 　,2011年4月8日,堀井雅広 (美浦),藤田在子,天羽禮治,日高町,,シベリアンホーク,ワンダフルドーラ,More Than Ready,0.00,0.00
2011100037,ヴィーグジャンプ 　,2011年3月21日,土田稔 (美浦),栗山良子,新井昭二,日高町,,ニューイングランド,ヴィーグスマイル,サウスヴィグラス,0.00,0.00
2011100038, □地シーザーズセレクト 　,2011年6月4日,小西重征 (岩手),松井淳二,新井昭二,日高町,,ヴィクトリー,カプリース,アグネスタキオン,29.40,29.40
2011100039, □地ケイウントップ 　,2011年4月6日,安部弘一 (愛知),（有）ホースケア,新井昭二,日高町,,アサクサデンエン,キウィカラー,ヘネシー,3.50,24.50
2011100040, □地ケイウンコトブキ 　,2011年3月21日,茂崎正善 (兵庫),土屋君春,新井昭二,日高町,,ボストンハーバー,ケイウンシュウレイ,スキャン,64.10,83.00
2011100041,ケイウンヘブンズ 　,2011年4月4日,松永昌博 (栗東),鋤元節夫,新井昭二,日高町,,ブラックタイド,ブリンダーレ,エルコンドルパサー,0.00,36.40
2011100042,ホウショウマスター 　,2011年6月7日,藤原辰雄 (美浦),芳賀吉孝,新井昭二,日高町,,マーベラスサンデー,ホウショウリヴ,Holy Bull,0.00,0.00
2011100043,ホウショウマージ 　,2011年5月25日,上原博之 (美浦),芳賀吉孝,新井昭二,日高町,,タニノギムレット,ホウショウワールド,Sky Classic,0.00,0.00
2011100044,ハナズジャンプ 　,2011年3月15日, ,,新井昭二,日高町,210万円 (2012年 北海道サマーセール),ダンスインザダーク,レガシーヴィーナス,トニービン,0,0
2011100045,マイネルプラセル 　,2011年4月29日,萱野浩二 (美浦),サラブレッドクラブ・ラフィアン,新井昭二,日高町,525万円 (2012年 北海道サマーセール),フジキセキ,レジュイール,トニービン,0,0
2011100046, ○地シゲルエチゴ 　,2011年4月30日,伊藤正徳 (美浦),ブルアンドベア,新井昭二,日高町,263万円 (2012年 北海道オータムセール),デュランダル,ロイヤルライン,クロフネ,170.00,295.00
2011100047,タカミツスズラン 　,2011年6月29日,高橋裕 (美浦),タカミツ,新井弘幸,日高町,,タイキシャトル,イーサンラヴ,マイネルラヴ,700.00,700.00
2011100048, □地スズノユーミン 　,2011年5月21日,服部健一 (金沢),（有）ホースケア,新井弘幸,日高町,,デュランダル,スズキャンドル,ジャングルポケット,0.00,0.00
2011100049, □地スイフトフォンテン 　,2011年3月14日,佐藤厚弘 (船橋),吉橋計,新井弘幸,日高町,,イーグルカフェ,バーデンフォンテン,サクラバクシンオー,0.00,740.00
2011100050, □地マイマイン 　,2011年4月5日,堀千亜樹 (大井),（有）ゆうすふる,荒井ファーム,日高町,179万円 (2012年 北海道オータムセール),ジャングルポケット,アイアムトゥルー,Yes It's True,64.20,208.20
2011100051,アンジュデュバン 　,2011年3月4日,武市康男 (美浦),後藤英成,荒井ファーム,日高町,735万円 (2013年 JRAブリーズアップセール),ハーツクライ,マイネレーヌ,マイネルラヴ,900.00,1154.60
2011100052, □地ヤマイチローガン 　,2011年4月13日,桑原義光 (北海道),池内勇二,池内健二,日高町,,フサイチレオン,アポロガイア,フレンチデピュティ,87.50,87.50
2011100053, □地イケノハイガール 　,2011年5月29日,織田誠 (兵庫),池添安雄,池添安雄,日高町,,スウィフトカレント,ジョウノエルニド,ブライアンズタイム,7.20,13.80
2011100054, □地アレイオーン 　,2011年5月4日,高橋俊之 (高崎),永田健一,石原牧場,日高町,,デュランダル,アイシャイン,マルゼンスキー,23.60,29.40
2011100055,バルツィーニ 　,2011年3月1日,日吉正和 (栗東),中辻明,石原牧場,日高町,189万円 (2012年 北海道サマーセール),チーフベアハート,テンノフェアリー,フジキセキ,0.50,0.50
2011100056,ワールドパンサー 　,2011年6月1日,羽月友彦 (栗東),宮本貞雄,石原牧場,日高町,,カンパニー,ハッピーラベンダー,バブルガムフェロー,0.00,0.00
2011100057,プロトコル 　,2011年4月19日,牧光二 (美浦),石瀬浩三,いとう牧場,日高町,,スクリーンヒーロー,ヴィーナスコロニー,Nureyev,0.00,800.00
2011100058, □地クリノグラスオー 　,2011年4月23日,中野博 (佐賀),栗本八江,いとう牧場,日高町,399万円 (2012年 北海道オータムセール),グラスワンダー,ダノニー,マンハッタンカフェ,0.00,4.10
2011100059,センショウオー 　,2011年5月6日,黒岩陽一 (美浦),齊藤宣勝,いとう牧場,日高町,788万円 (2012年 北海道オータムセール),ダイワメジャー,トロピカルレディー,ウイニングチケット,0.00,0.00
2011100060,ナムラユリア 　,2011年3月28日,牧浦充徳 (栗東),奈村信重,いとう牧場,日高町,,ゼンノロブロイ,ナムラクニヒメ,キンググローリアス,0.00,0.00
2011100061,ナムラマサシゲ 　,2011年4月28日,谷原義明 (美浦),奈村信重,いとう牧場,日高町,,カンパニー,ナムラシゲコ,エンドスウィープ,575.00,685.00
2011100062,ナムラテンニョの2011 　,2011年4月19日, ,,いとう牧場,日高町,,スクリーンヒーロー,ナムラテンニョ,キンググローリアス,0,0
2011100063,ビレッジソング 　,2011年3月11日,加藤和宏 (美浦),岡田牧雄,いとう牧場,日高町,294万円 (2012年 北海道サマーセール),マツリダゴッホ,ナムラメロディー,ジェイドロバリー,0.00,0.00
2011100064,エスコルピオン 　,2011年4月16日,野村彰彦 (栗東),シルクレーシング,いとう牧場,日高町,,ダンスインザダーク,フィールドソング,Gulch,0.00,32.80
2011100065,ナムラウエモン 　,2011年5月23日,五十嵐忠 (栗東),奈村信重,いとう牧場,日高町,,ハーツクライ,レーヌヴェルト,フレンチデピュティ,0.00,0.00
2011100066,トゥインクル 　,2011年4月15日,牧田和弥 (栗東),畑佐博,いとう牧場,日高町,,ステイゴールド,ロングスターダム,ノーザンテースト,75.00,865.00
2011100067, □地レッドペリグリン 　,2011年4月26日,佐久間雅 (北海道),今井保,今井保,日高町,,ボストンハーバー,ケリーズアイ,スクワートルスクワート,30.00,80.00
2011100068, □地コーリンジャヴロー 　,2011年5月20日,錦見勇夫 (愛知),伊藤恵介,今井牧場,日高町,,ハーツクライ,コーリンピュア,サクラバクシンオー,0.00,0.00
2011100069,コーリンベリー 　,2011年4月13日,小野次郎 (美浦),伊藤恵子,今井牧場,日高町,,サウスヴィグラス,コーリンラヴィアン,ミシックトライブ,0.00,5194.90
2011100070,ブックマークレット 　,2011年3月15日,小野次郎 (美浦),島田久,今井牧場,日高町,,ボストンハーバー,ホホエミ,バブルガムフェロー,81.60,162.20
2011100071,バージェス 　,2011年6月6日,浅野洋一 (美浦),加藤徹,アイズスタッド,日高町,,アルカセット,カナディアンアプルーバル,With Approval,0.00,0.00
2011100072,キョウエイシンファの2011 　,2011年5月20日, ,,アイズスタッド,日高町,,プリサイスエンド,キョウエイシンファ,リンドシェーバー,0,0
2011100073,プコナコナ 　,2011年4月28日,加藤和宏 (美浦),松岡雅昭,アイズスタッド,日高町,,キングヘイロー,キョウエイペルレ,ワージブ,0.00,0.00
2011100074,マイネフューチャーの2011 　,2011年4月20日, ,,アイズスタッド,日高町,,アドマイヤジャパン,マイネフューチャー,コマンダーインチーフ,0,0
2011100075, □地ベッラヴィスタ 　,2011年5月21日,宮路洋一 (高知),酒井孝敏,アイズスタッド,日高町,,カンパニー,ワールドウッド,ラシアンボンド,1.50,21.30
2011100076,アーネストデイの2011 　,2011年4月8日, ,,上田昭治,日高町,,エアジハード,アーネストデイ,スペシャルウィーク,0,0
2011100077,ロマンスフリージアの2011 　,2011年4月20日, ,,上田昭治,日高町,,ティンバーカントリー,ロマンスフリージア,ブライアンズタイム,0,0
2011100078, □地オーバーテイク 　,2011年3月10日,佐々木洋 (大井),長橋秀雄,浦新徳司,日高町,525万円 (2013年 北海道トレーニングセール),メイショウボーラー,アドマイヤアイドル,ブライアンズタイム,0.00,0.00
2011100079, □地ミスターローレンス 　,2011年4月27日,山田質 (地方),鈴木康弘,浦新徳司,日高町,"1,208万円 (2012年 北海道セレクションセール)",ステイゴールド,ウインドラブ,フサイチコンコルド,0.00,0.00
2011100080,ドリームカイザー 　,2011年2月14日,飯田雄三 (栗東),ライオンレースホース,浦新徳司,日高町,,キングカメハメハ,サルガソシー,Affirmed,1015.00,2135.00
2011100081, □地マカセタ 　,2011年3月16日,岡林光浩 (船橋),中辻明,浦新徳司,日高町,242万円 (2012年 北海道サマーセール),スウェプトオーヴァーボード,サンライトリーダ,ダンスインザダーク,0.00,321.40
2011100082, □地コスモフラッグ 　,2011年4月5日,板垣吉則 (岩手),杉浦和也,浦新徳司,日高町,389万円 (2012年 北海道サマーセール),メイショウボーラー,ビンジンスキー,Nijinsky,325.00,594.00
2011100083,マダムアグライア 　,2011年3月19日,新開幸一 (美浦),高樽さゆり,浦新徳司,日高町,872万円 (2013年 北海道トレーニングセール),ケイムホーム,マリスカ,アグネスタキオン,70.00,250.00
2011100084,クリノミケーネ 　,2011年4月8日,本間忍 (美浦),栗本博晴,永村侑,日高町,,キングヘイロー,ダーリンキスミー,フォーティナイナー,0.00,0.00
2011100085,クリノサプライズ 　,2011年5月1日,梅内忍 (栗東),栗本博晴,永村侑,日高町,,スウェプトオーヴァーボード,ペガサスタキオン,アグネスタキオン,75.00,75.00
2011100086, □地エスティウィン 　,2011年2月17日,橋本和馬 (大井),島川隆哉,エスティファーム,日高町,,トーセンダンス,アードゥイン,Diesis,0.00,128.70
2011100087,トーセンキャピタル 　,2011年3月6日,木村哲也 (美浦),島川隆哉,エスティファーム,日高町,,ロージズインメイ,エスペラーダ,Fusaichi Pegasus,0.00,0.00
2011100088,エスティレイズ 　,2011年3月6日,成島英春 (美浦),島川隆哉,エスティファーム,日高町,,パイロ,エターナルレイズ,シンボリクリスエス,380.00,430.00
2011100089, □地エスティドゥーラ 　,2011年2月23日,小久保智 (浦和),島川隆哉,エスティファーム,日高町,,トーセンダンス,エラドゥーラ,Sultry Song,325.00,970.10
2011100090,カンタループの2011 　,2011年3月2日, ,,エスティファーム,日高町,,トーセンダンス,カンタループ,シンボリクリスエス,0,0
2011100091, □地エスティシロップ 　,2011年4月27日,久保勇 (川崎),島川隆哉,エスティファーム,日高町,,トーセンダンス,スマイルサポート,Halling,24.00,45.60
2011100092,エスティステラ 　,2011年1月30日,菅原泰夫 (美浦),島川隆哉,エスティファーム,日高町,,トーセンダンス,トウカイステラ,トウカイテイオー,0.00,0.00
2011100093,トーセンエンブレム 　,2011年3月28日,本間忍 (美浦),島川隆哉,エスティファーム,日高町,,ジャングルポケット,トーセンアイリス,フジキセキ,255.00,505.00
2011100094, □地エスティゴールド 　,2011年4月3日,川島正一 (船橋),島川隆哉,エスティファーム,日高町,,ルールオブロー,トーセンアラベスク,アグネスタキオン,0.00,145.00
2011100095,トーセンエスプリ 　,2011年4月18日,上原博之 (美浦),島川隆哉,エスティファーム,日高町,,トーセンダンス,トーセンアート,Woodman,0.00,0.00
2011100096,トーセンウィンザー 　,2011年3月5日,小桧山悟 (美浦),島川隆哉,エスティファーム,日高町,,トーセンダンス,トーセンエキコ,ジェイドロバリー,0.00,0.00
2011100097, ○地エスティリメイク 　,2011年2月26日,成島英春 (美浦),エスティファーム,エスティファーム,日高町,,フレンチデピュティ,トーセンエール,リアルシャダイ,70.00,109.60
2011100098,エスティルージュ 　,2011年5月13日,小桧山悟 (美浦),島川隆哉,エスティファーム,日高町,,コンデュイット,トーセンオマージュ,ダンスインザダーク,0.00,0.00
2011100099, □地エスティパレード 　,2011年3月6日,久保勇 (川崎),島川隆哉,エスティファーム,日高町,,トーセンダンス,トーセンカーニバル,コマンダーインチーフ,33.00,71.30
2011100100,エスティクレスト 　,2011年5月6日,奥平雅士 (美浦),島川隆哉,エスティファーム,日高町,,トーセンダンス,トーセンクレスト,ウォーエンブレム,0.00,60.00
2011100101, □地エスティクォーツ 　,2011年4月4日,小久保智 (浦和),島川隆哉,エスティファーム,日高町,,チチカステナンゴ,トーセンサファイア,サンデーサイレンス,224.00,325.90
2011100102, □地トーセンセラヴィ 　,2011年2月25日,小久保智 (浦和),島川隆哉,エスティファーム,日高町,,ディープインパクト,トーセンジョウオー,ティンバーカントリー,570.00,860.00
2011100103, □地エスティラビリス 　,2011年3月15日,小久保智 (浦和),島川隆哉,エスティファーム,日高町,,トーセンロッキー,トーセンスマッシュ,トウカイテイオー,48.10,120.40
2011100104, □地エスティセレニティ 　,2011年5月20日,橋本和馬 (大井),島川隆哉,エスティファーム,日高町,,キングカメハメハ,トーセンセレニティ,サンデーサイレンス,15.60,108.60
2011100105,トーセンクラウド 　,2011年4月19日,大久保龍 (栗東),島川隆哉,エスティファーム,日高町,,ダイワメジャー,トーセントップラン,ジャングルポケット,280.00,656.00
2011100106, □地エスティトリニー 　,2011年5月25日,後藤保 (笠松),島川隆哉,エスティファーム,日高町,,ローエングリン,トーセントリニティ,Desert Prince,35.00,35.00
2011100107, □地トーセンハリケーン 　,2011年4月11日,小久保智 (浦和),島川隆哉,エスティファーム,日高町,,シンボリクリスエス,トーセンハピネス,サンデーサイレンス,0.00,1012.00
2011100108, □地エスティエビータ 　,2011年2月13日,橋本和馬 (大井),（有）エスティファー,エスティファーム,日高町,,ルールオブロー,トーセンビュー,サンデーサイレンス,0.00,14.40
2011100109,トーセンシルエット 　,2011年1月30日,菅原泰夫 (美浦),島川隆哉,エスティファーム,日高町,,トーセンダンス,トーセンビレッタ,スウェプトオーヴァーボード,1818.10,2538.10
2011100110,トーセンローツェ 　,2011年3月19日,池上昌和 (美浦),島川隆哉,エスティファーム,日高町,,フレンチデピュティ,トーセンブリリアン,ホワイトマズル,0.00,0.00
2011100111,トーセンパシュート 　,2011年5月26日,鈴木康弘 (美浦),島川隆哉,エスティファーム,日高町,,マンハッタンカフェ,トーセンマッハ,ブライアンズタイム,0.00,0.00
2011100112, □地エスティヒロイン 　,2011年4月27日,橋本和馬 (大井),島川隆哉,エスティファーム,日高町,,アルカセット,トーセンマドンナ,マンハッタンカフェ,0.00,0.00
2011100113, □地エスティアロマ 　,2011年2月16日,橋本和馬 (大井),島川隆哉,エスティファーム,日高町,,トーセンダンス,トーセンモアムード,Mineshaft,200.00,200.00
2011100114,エスティレジェンド 　,2011年2月28日,菅原泰夫 (美浦),島川隆哉,エスティファーム,日高町,,ロージズインメイ,トーセンレジェンド,エルコンドルパサー,255.00,955.00
2011100115, □地エスティタイヨウ 　,2011年4月16日,後藤保 (笠松),島川隆哉,エスティファーム,日高町,,トーセンダンス,ニシノニチリン,メジロマックイーン,17.50,17.50
2011100116,ニシノマリアの2011 　,2011年4月15日, ,,エスティファーム,日高町,,スウェプトオーヴァーボード,ニシノマリア,Take Me Out,0,0
2011100117,トーセンミニョン 　,2011年2月15日,鈴木康弘 (美浦),島川隆哉,エスティファーム,日高町,,トーセンダンス,ピンロックリー,A.P. Indy,0,0
2011100118, □地エスティファース 　,2011年5月9日,後藤正義 (地方),（有）エスティファー,エスティファーム,日高町,,エアジハード,ファスタ,Seattle Song,0.00,18.00
2011100119,エスティホープ 　,2011年4月3日,菅原泰夫 (美浦),エスティファーム,エスティファーム,日高町,,グラスワンダー,ファモーザ,サンデーサイレンス,0.00,0.00
2011100120, □地エスティキール 　,2011年3月22日,山中尊徳 (船橋),島川隆哉,エスティファーム,日高町,,トーセンダンス,ベビーキール,タニノギムレット,42.00,58.20
2011100121,エスティマッシュ 　,2011年3月26日,奥平雅士 (美浦),島川隆哉,エスティファーム,日高町,,アルカセット,マッシュレイヤー,ジャングルポケット,0.00,0.00
2011100122, □地エスティレプラ 　,2011年2月16日,後藤正義 (地方),島川隆哉,エスティファーム,日高町,,トーセンダンス,レプラコンレーン,ファルブラヴ,12.50,12.50
2011100123, ○地エスティロックオン 　,2011年1月29日,成島英春 (美浦),島川隆哉,エスティファーム,日高町,,リンカーン,ロックランザ,ロックオブジブラルタル,545.00,669.00
2011100124, □地バレーナボス 　,2011年4月9日,荒山義則 (兵庫),（有）オールウェイズ,大江牧場,日高町,410万円 (2012年 北海道サマーセール),アドマイヤマックス,アメリカンタイトル,ウォーエンブレム,180.00,180.00
2011100125,ランデックディオサ 　,2011年2月27日,高市圭二 (美浦),簗田満,大江牧場,日高町,809万円 (2013年 JRAブリーズアップセール),ブラックタイド,ウエスタンバスター,ハウスバスター,70.00,130.00
2011100126, □地ネクストロード 　,2011年4月25日,小西重征 (岩手),長谷川成利,大江牧場,日高町,,ブライアンズタイム,ハセノベルカント,フジキセキ,0.00,0.00
2011100127, □地カミノマフィン 　,2011年4月4日,佐藤寿 (大井),宇賀神英子,大西ステイブル,日高町,,カミノサイレンス,タイキレベッカ,フォーティナイナー,0.00,0.00
2011100128, □地サッポロロウタス 　,2011年6月6日,川村守男 (浦和),佐々木薫,森俊雄,新ひだか町,,カミノサイレンス,モダンガールケリー,ブライアンズタイム,159.50,176.40
2011100129, □地アルコバレエノ 　,2011年4月23日,的場直之 (大井),大矢時夫,大矢牧場,日高町,,ダイタクリーヴァ,ジョウネツノハナ,バンブーアトラス,350.50,576.90
2011100130, □地ニュートリノビーム 　,2011年5月16日,的場直之 (大井),大矢時夫,大矢牧場,日高町,,パーソナルラッシュ,ベティボルテクス,ジェニュイン,61.00,91.00
2011100131, □地リピートウィン 　,2011年5月29日,高月賢一 (川崎),（有）武田興業,大山牧場,日高町,,ザカリヤ,オールインオール,コタシャーン,180.00,199.80
2011100132, □地ヨシノシルエット 　,2011年4月16日,宮路洋一 (高知),（有）ホースケア,大山牧場,日高町,,パーソナルラッシュ,ワンダーフェロー,バブルガムフェロー,3.00,19.20
2011100133,タイセイバリオス 　,2011年4月10日,武藤善則 (美浦),田中成奉,沖田牧場,日高町,315万円 (2012年 北海道サマーセール),リンカーン,アスカ,アフリート,0.00,3.00
2011100134, □地イエスアイキャン 　,2011年4月6日,山浦武 (船橋),沖田方子,沖田牧場,日高町,,スマートボーイ,イエスプリーズ,スペシャルウィーク,253.50,1175.50
2011100135, □地アフィート 　,2011年3月13日,成田明 (愛知),（有）ホースケア,沖田牧場,日高町,,デュランダル,ウィンディガーデン,タニノギムレット,0.00,0.00
2011100136,ピンクプリンセス 　,2011年3月11日,服部利之 (栗東),木村久子,沖田牧場,日高町,,シルバーチャーム,ヴィナカ,マルゼンスキー,380.00,380.00
2011100137, □地トリプルスター 　,2011年3月10日,西久保政 (佐賀),小部芳子,沖田牧場,日高町,,ファルブラヴ,エスケープリリー,ライブリーワン,24.00,24.00
2011100138, □地カミカザリ 　,2011年3月24日,黒川智貴 (北海道),沖田方子,沖田牧場,日高町,,ダンスインザダーク,オリガミ,シャンハイ,101.50,268.50
2011100139,セフティーエムアイ 　,2011年3月9日,目野哲也 (栗東),池田實,沖田牧場,日高町,,ケイムホーム,オースミサツキ,ブライアンズタイム,0.00,747.00
2011100140, □地ベストヴァリアント 　,2011年4月19日,佐々木清 (船橋),佐々木総雄,沖田牧場,日高町,,アドマイヤジャパン,カオリスマイル,シャンハイ,65.00,65.00
2011100141,ゲームクライシス 　,2011年3月14日,宗像義忠 (美浦),薗部博之,沖田牧場,日高町,"1,785万円 (2011年 セレクトセール)",ハーツクライ,ゴールドオアシス,アフリート,0.00,138.00
2011100142, □地ミラクルファイター 　,2011年4月12日,藤田正治 (笠松),（有）ミドルアイラン,沖田牧場,日高町,,アドマイヤジャパン,スーパーオアシス,アフリート,38.50,38.50
2011100143,ディアオーブ 　,2011年4月10日,水野貴広 (美浦),ディアレスト,沖田牧場,日高町,,スクリーンヒーロー,ディレクトーラ,メジロライアン,6.30,46.10
2011100144, □地カズメイヤー 　,2011年3月1日,渡辺貴光 (地方),目谷一幸,沖田牧場,日高町,368万円 (2012年 北海道サマーセール),グラスワンダー,ビーウェルオン,クリミナルタイプ,0.00,0.00
2011100145, □地スイートアンジュ 　,2011年5月6日,安部弘一 (愛知),（同）ＪＰＮ技研,沖田牧場,日高町,,ブラックホーク,ベストルンルン,キャロルハウス,197.50,197.50
2011100146, □地ライトサーパス 　,2011年2月28日,野田忍 (兵庫),村上稔,沖田牧場,日高町,263万円 (2012年 北海道オータムセール),ファンタスティックライト,ルナルナ,アフリート,0.00,50.00
2011100147,マイネルオプタ 　,2011年4月26日,田中清隆 (美浦),サラブレッドクラブ・ラフィアン,オリオンファーム,日高町,"1,050万円 (2012年 セレクトセール)",コンデュイット,アーネストデザイア,サンデーサイレンス,0.00,50.00
2011100148, □地ユーセイイメルダー 　,2011年3月14日,藤田正治 (笠松),浅井隆夫,オリオンファーム,日高町,,フジキセキ,ヴァルホーリング,Halling,45.20,48.80
2011100149, □地トーコーポセイドン 　,2011年3月12日,吉行龍穂 (兵庫),森田藤治,オリオンファーム,日高町,"1,260万円 (2012年 北海道セレクションセール)",キングカメハメハ,クルザダアメリカーナ,Nedawi,1250.00,1370.00
2011100150, □地ノクティルカ 　,2011年3月31日,中川竜馬 (佐賀),福田米造,オリオンファーム,日高町,,スウェプトオーヴァーボード,サイレントレガシー,サンデーサイレンス,56.70,58.00
2011100151,サマータイムヴァルの2011 　,2011年4月24日, ,,オリオンファーム,日高町,"1,575万円 (2011年 セレクトセール)",マンハッタンカフェ,サマータイムヴァル,Summer Squall,0,0
2011100152,ショウナンアラン 　,2011年3月5日,上原博之 (美浦),湘南,オリオンファーム,日高町,"1,050万円 (2011年 セレクトセール)",ネオユニヴァース,シガトカ,Storm Cat,0.00,21.80
